rule,window,trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_DD,strategy_DD
RULE_A,12,19,-17.270000000000003,-11.24,6.030000000000003,0.2631578947368421,0.3157894736842105,-16.51,-9.780000000000001
RULE_A,13,1,1.46,-0.19,-1.65,1.0,0.0,0.0,0.0
RULE_A,14,20,-6.62,-12.009999999999998,-5.389999999999998,0.3,0.25,-7.8100000000000005,-10.869999999999997
RULE_A,15,3,-3.53,-1.16,2.37,0.0,0.3333333333333333,-2.8699999999999997,-0.58
RULE_A,16,2,1.15,1.24,0.09000000000000008,0.5,1.0,-0.77,0.0
RULE_A,18,9,-6.6899999999999995,-3.49,3.1999999999999993,0.2222222222222222,0.3333333333333333,-4.489999999999999,-2.1399999999999997
RULE_A,19,2,-0.41999999999999993,-0.89,-0.4700000000000001,0.5,0.5,0.0,0.0
RULE_A,20,33,-26.269999999999996,-19.2,7.069999999999997,0.2727272727272727,0.30303030303030304,-27.070000000000004,-18.08
RULE_A,21,1,3.94,0.94,-3.0,1.0,1.0,0.0,0.0
RULE_A,22,10,-11.400000000000002,-5.6899999999999995,5.710000000000003,0.1,0.3,-8.63,-5.06
RULE_B,12,19,-17.270000000000003,-10.15,7.120000000000003,0.2631578947368421,0.3157894736842105,-16.51,-8.689999999999998
RULE_B,13,1,1.46,-0.19,-1.65,1.0,0.0,0.0,0.0
RULE_B,14,20,-6.62,-10.48,-3.8600000000000003,0.3,0.25,-7.8100000000000005,-9.23
RULE_B,15,3,-3.53,-1.16,2.37,0.0,0.3333333333333333,-2.8699999999999997,-0.58
RULE_B,16,2,1.15,1.24,0.09000000000000008,0.5,1.0,-0.77,0.0
RULE_B,18,9,-6.6899999999999995,-3.920000000000001,2.7699999999999987,0.2222222222222222,0.2222222222222222,-4.489999999999999,-2.57
RULE_B,19,2,-0.41999999999999993,-0.89,-0.4700000000000001,0.5,0.5,0.0,0.0
RULE_B,20,33,-26.269999999999996,-19.759999999999998,6.509999999999998,0.2727272727272727,0.30303030303030304,-27.070000000000004,-18.639999999999997
RULE_B,21,1,3.94,0.94,-3.0,1.0,1.0,0.0,0.0
RULE_B,22,10,-11.400000000000002,-7.87,3.530000000000002,0.1,0.2,-8.63,-7.24
RULE_C,12,19,-17.270000000000003,-10.15,7.120000000000003,0.2631578947368421,0.3157894736842105,-16.51,-8.689999999999998
RULE_C,13,1,1.46,-0.19,-1.65,1.0,0.0,0.0,0.0
RULE_C,14,20,-6.62,-10.620000000000001,-4.000000000000001,0.3,0.25,-7.8100000000000005,-9.37
RULE_C,15,3,-3.53,-1.16,2.37,0.0,0.3333333333333333,-2.8699999999999997,-0.58
RULE_C,16,2,1.15,1.24,0.09000000000000008,0.5,1.0,-0.77,0.0
RULE_C,18,9,-6.6899999999999995,-3.920000000000001,2.7699999999999987,0.2222222222222222,0.2222222222222222,-4.489999999999999,-2.57
RULE_C,19,2,-0.41999999999999993,-0.89,-0.4700000000000001,0.5,0.5,0.0,0.0
RULE_C,20,33,-26.269999999999996,-19.7,6.569999999999997,0.2727272727272727,0.3333333333333333,-27.070000000000004,-18.58
RULE_C,21,1,3.94,0.94,-3.0,1.0,1.0,0.0,0.0
RULE_C,22,10,-11.400000000000002,-7.87,3.530000000000002,0.1,0.2,-8.63,-7.24
