original_index,state,first_mae_correct,recovery_after_mae,recovery_within_deadline,recovery_threshold_correct,no_invalid_recovery,single_exit,audit_pass
0,FAILED_TO_RECOVER,True,True,True,True,True,True,True
1,RECOVERED,True,True,True,True,True,True,True
2,RECOVERED,True,True,True,True,True,True,True
3,FAILED_TO_RECOVER,True,True,True,True,True,True,True
4,RECOVERED,True,True,True,True,True,True,True
5,FAILED_TO_RECOVER,True,True,True,True,True,True,True
6,FAILED_TO_RECOVER,True,True,True,True,True,True,True
7,FAILED_TO_RECOVER,True,True,True,True,True,True,True
8,RECOVERED,True,True,True,True,True,True,True
9,FAILED_TO_RECOVER,True,True,True,True,True,True,True
10,FAILED_TO_RECOVER,True,True,True,True,True,True,True
11,RECOVERED,True,True,True,True,True,True,True
12,FAILED_TO_RECOVER,True,True,True,True,True,True,True
13,FAILED_TO_RECOVER,True,True,True,True,True,True,True
14,FAILED_TO_RECOVER,True,True,True,True,True,True,True
15,FAILED_TO_RECOVER,True,True,True,True,True,True,True
16,RECOVERED,True,True,True,True,True,True,True
17,FAILED_TO_RECOVER,True,True,True,True,True,True,True
18,FAILED_TO_RECOVER,True,True,True,True,True,True,True
19,FAILED_TO_RECOVER,True,True,True,True,True,True,True
20,FAILED_TO_RECOVER,True,True,True,True,True,True,True
21,FAILED_TO_RECOVER,True,True,True,True,True,True,True
22,FAILED_TO_RECOVER,True,True,True,True,True,True,True
23,RECOVERED,True,True,True,True,True,True,True
24,FAILED_TO_RECOVER,True,True,True,True,True,True,True
25,FAILED_TO_RECOVER,True,True,True,True,True,True,True
26,FAILED_TO_RECOVER,True,True,True,True,True,True,True
27,FAILED_TO_RECOVER,True,True,True,True,True,True,True
28,FAILED_TO_RECOVER,True,True,True,True,True,True,True
29,RECOVERED,True,True,True,True,True,True,True
30,FAILED_TO_RECOVER,True,True,True,True,True,True,True
31,FAILED_TO_RECOVER,True,True,True,True,True,True,True
32,FAILED_TO_RECOVER,True,True,True,True,True,True,True
33,FAILED_TO_RECOVER,True,True,True,True,True,True,True
34,FAILED_TO_RECOVER,True,True,True,True,True,True,True
35,FAILED_TO_RECOVER,True,True,True,True,True,True,True
36,RECOVERED,True,True,True,True,True,True,True
37,RECOVERED,True,True,True,True,True,True,True
38,FAILED_TO_RECOVER,True,True,True,True,True,True,True
39,FAILED_TO_RECOVER,True,True,True,True,True,True,True
40,RECOVERED,True,True,True,True,True,True,True
41,FAILED_TO_RECOVER,True,True,True,True,True,True,True
42,FAILED_TO_RECOVER,True,True,True,True,True,True,True
43,FAILED_TO_RECOVER,True,True,True,True,True,True,True
44,FAILED_TO_RECOVER,True,True,True,True,True,True,True
45,FAILED_TO_RECOVER,True,True,True,True,True,True,True
46,FAILED_TO_RECOVER,True,True,True,True,True,True,True
47,RECOVERED,True,True,True,True,True,True,True
48,FAILED_TO_RECOVER,True,True,True,True,True,True,True
49,FAILED_TO_RECOVER,True,True,True,True,True,True,True
50,FAILED_TO_RECOVER,True,True,True,True,True,True,True
51,FAILED_TO_RECOVER,True,True,True,True,True,True,True
52,FAILED_TO_RECOVER,True,True,True,True,True,True,True
53,FAILED_TO_RECOVER,True,True,True,True,True,True,True
54,FAILED_TO_RECOVER,True,True,True,True,True,True,True
55,FAILED_TO_RECOVER,True,True,True,True,True,True,True
56,FAILED_TO_RECOVER,True,True,True,True,True,True,True
57,FAILED_TO_RECOVER,True,True,True,True,True,True,True
58,FAILED_TO_RECOVER,True,True,True,True,True,True,True
59,FAILED_TO_RECOVER,True,True,True,True,True,True,True
60,FAILED_TO_RECOVER,True,True,True,True,True,True,True
61,FAILED_TO_RECOVER,True,True,True,True,True,True,True
62,RECOVERED,True,True,True,True,True,True,True
63,RECOVERED,True,True,True,True,True,True,True
64,FAILED_TO_RECOVER,True,True,True,True,True,True,True
65,FAILED_TO_RECOVER,True,True,True,True,True,True,True
66,FAILED_TO_RECOVER,True,True,True,True,True,True,True
67,FAILED_TO_RECOVER,True,True,True,True,True,True,True
68,FAILED_TO_RECOVER,True,True,True,True,True,True,True
69,RECOVERED,True,True,True,True,True,True,True
70,RECOVERED,True,True,True,True,True,True,True
71,RECOVERED,True,True,True,True,True,True,True
72,FAILED_TO_RECOVER,True,True,True,True,True,True,True
73,FAILED_TO_RECOVER,True,True,True,True,True,True,True
74,FAILED_TO_RECOVER,True,True,True,True,True,True,True
75,FAILED_TO_RECOVER,True,True,True,True,True,True,True
76,FAILED_TO_RECOVER,True,True,True,True,True,True,True
77,FAILED_TO_RECOVER,True,True,True,True,True,True,True
78,RECOVERED,True,True,True,True,True,True,True
79,FAILED_TO_RECOVER,True,True,True,True,True,True,True
80,FAILED_TO_RECOVER,True,True,True,True,True,True,True
81,FAILED_TO_RECOVER,True,True,True,True,True,True,True
82,FAILED_TO_RECOVER,True,True,True,True,True,True,True
83,FAILED_TO_RECOVER,True,True,True,True,True,True,True
84,FAILED_TO_RECOVER,True,True,True,True,True,True,True
85,FAILED_TO_RECOVER,True,True,True,True,True,True,True
86,FAILED_TO_RECOVER,True,True,True,True,True,True,True
87,FAILED_TO_RECOVER,True,True,True,True,True,True,True
88,FAILED_TO_RECOVER,True,True,True,True,True,True,True
89,RECOVERED,True,True,True,True,True,True,True
90,FAILED_TO_RECOVER,True,True,True,True,True,True,True
91,FAILED_TO_RECOVER,True,True,True,True,True,True,True
92,FAILED_TO_RECOVER,True,True,True,True,True,True,True
93,FAILED_TO_RECOVER,True,True,True,True,True,True,True
94,FAILED_TO_RECOVER,True,True,True,True,True,True,True
95,FAILED_TO_RECOVER,True,True,True,True,True,True,True
96,FAILED_TO_RECOVER,True,True,True,True,True,True,True
97,FAILED_TO_RECOVER,True,True,True,True,True,True,True
98,FAILED_TO_RECOVER,True,True,True,True,True,True,True
99,FAILED_TO_RECOVER,True,True,True,True,True,True,True
100,FAILED_TO_RECOVER,True,True,True,True,True,True,True
101,RECOVERED,True,True,True,True,True,True,True
102,FAILED_TO_RECOVER,True,True,True,True,True,True,True
103,FAILED_TO_RECOVER,True,True,True,True,True,True,True
104,FAILED_TO_RECOVER,True,True,True,True,True,True,True
105,FAILED_TO_RECOVER,True,True,True,True,True,True,True
106,RECOVERED,True,True,True,True,True,True,True
107,FAILED_TO_RECOVER,True,True,True,True,True,True,True
108,FAILED_TO_RECOVER,True,True,True,True,True,True,True
109,RECOVERED,True,True,True,True,True,True,True
110,RECOVERED,True,True,True,True,True,True,True
111,FAILED_TO_RECOVER,True,True,True,True,True,True,True
112,FAILED_TO_RECOVER,True,True,True,True,True,True,True
113,FAILED_TO_RECOVER,True,True,True,True,True,True,True
114,FAILED_TO_RECOVER,True,True,True,True,True,True,True
115,FAILED_TO_RECOVER,True,True,True,True,True,True,True
116,FAILED_TO_RECOVER,True,True,True,True,True,True,True
117,FAILED_TO_RECOVER,True,True,True,True,True,True,True
118,FAILED_TO_RECOVER,True,True,True,True,True,True,True
119,RECOVERED,True,True,True,True,True,True,True
120,FAILED_TO_RECOVER,True,True,True,True,True,True,True
121,FAILED_TO_RECOVER,True,True,True,True,True,True,True
122,RECOVERED,True,True,True,True,True,True,True
123,FAILED_TO_RECOVER,True,True,True,True,True,True,True
124,FAILED_TO_RECOVER,True,True,True,True,True,True,True
125,RECOVERED,True,True,True,True,True,True,True
126,FAILED_TO_RECOVER,True,True,True,True,True,True,True
127,RECOVERED,True,True,True,True,True,True,True
128,FAILED_TO_RECOVER,True,True,True,True,True,True,True
129,FAILED_TO_RECOVER,True,True,True,True,True,True,True
130,FAILED_TO_RECOVER,True,True,True,True,True,True,True
131,RECOVERED,True,True,True,True,True,True,True
132,FAILED_TO_RECOVER,True,True,True,True,True,True,True
133,FAILED_TO_RECOVER,True,True,True,True,True,True,True
134,FAILED_TO_RECOVER,True,True,True,True,True,True,True
135,FAILED_TO_RECOVER,True,True,True,True,True,True,True
136,RECOVERED,True,True,True,True,True,True,True
137,FAILED_TO_RECOVER,True,True,True,True,True,True,True
138,RECOVERED,True,True,True,True,True,True,True
139,RECOVERED,True,True,True,True,True,True,True
140,FAILED_TO_RECOVER,True,True,True,True,True,True,True
141,FAILED_TO_RECOVER,True,True,True,True,True,True,True
142,FAILED_TO_RECOVER,True,True,True,True,True,True,True
143,FAILED_TO_RECOVER,True,True,True,True,True,True,True
144,FAILED_TO_RECOVER,True,True,True,True,True,True,True
145,RECOVERED,True,True,True,True,True,True,True
146,RECOVERED,True,True,True,True,True,True,True
147,FAILED_TO_RECOVER,True,True,True,True,True,True,True
148,FAILED_TO_RECOVER,True,True,True,True,True,True,True
149,FAILED_TO_RECOVER,True,True,True,True,True,True,True
150,RECOVERED,True,True,True,True,True,True,True
151,FAILED_TO_RECOVER,True,True,True,True,True,True,True
152,FAILED_TO_RECOVER,True,True,True,True,True,True,True
153,FAILED_TO_RECOVER,True,True,True,True,True,True,True
154,FAILED_TO_RECOVER,True,True,True,True,True,True,True
155,FAILED_TO_RECOVER,True,True,True,True,True,True,True
156,RECOVERED,True,True,True,True,True,True,True
157,FAILED_TO_RECOVER,True,True,True,True,True,True,True
158,RECOVERED,True,True,True,True,True,True,True
159,FAILED_TO_RECOVER,True,True,True,True,True,True,True
160,FAILED_TO_RECOVER,True,True,True,True,True,True,True
161,RECOVERED,True,True,True,True,True,True,True
162,FAILED_TO_RECOVER,True,True,True,True,True,True,True
163,FAILED_TO_RECOVER,True,True,True,True,True,True,True
164,RECOVERED,True,True,True,True,True,True,True
165,FAILED_TO_RECOVER,True,True,True,True,True,True,True
166,FAILED_TO_RECOVER,True,True,True,True,True,True,True
167,RECOVERED,True,True,True,True,True,True,True
168,FAILED_TO_RECOVER,True,True,True,True,True,True,True
169,FAILED_TO_RECOVER,True,True,True,True,True,True,True
170,FAILED_TO_RECOVER,True,True,True,True,True,True,True
171,RECOVERED,True,True,True,True,True,True,True
172,RECOVERED,True,True,True,True,True,True,True
173,FAILED_TO_RECOVER,True,True,True,True,True,True,True
174,FAILED_TO_RECOVER,True,True,True,True,True,True,True
175,RECOVERED,True,True,True,True,True,True,True
176,FAILED_TO_RECOVER,True,True,True,True,True,True,True
177,FAILED_TO_RECOVER,True,True,True,True,True,True,True
178,FAILED_TO_RECOVER,True,True,True,True,True,True,True
