original_index,window,benchmark_R,strategy_R,state,mae_bar,recovery_bar,exit_bar,exit_type
0,1,-1.04,-1.19,FAILED_TO_RECOVER,2,,8,FAILURE_EXIT
1,1,2.03,0.39,RECOVERED,3,6.0,6,RECOVERY_EXIT
2,1,0.21,0.59,RECOVERED,5,9.0,9,RECOVERY_EXIT
3,1,0.1,-0.71,FAILED_TO_RECOVER,4,,10,FAILURE_EXIT
4,1,0.26,0.43,RECOVERED,7,10.0,10,RECOVERY_EXIT
5,1,-0.5,-0.28,FAILED_TO_RECOVER,5,,11,FAILURE_EXIT
6,1,-0.73,-1.04,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
7,1,-0.71,-0.72,FAILED_TO_RECOVER,8,,14,FAILURE_EXIT
8,2,-1.7,0.2,RECOVERED,2,7.0,7,RECOVERY_EXIT
9,3,-1.35,-1.41,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
10,3,-1.25,-1.06,FAILED_TO_RECOVER,6,,12,FAILURE_EXIT
11,3,-0.79,0.52,RECOVERED,3,8.0,8,RECOVERY_EXIT
12,3,-0.93,-0.63,FAILED_TO_RECOVER,6,,12,FAILURE_EXIT
13,3,-0.74,-1.11,FAILED_TO_RECOVER,7,,13,FAILURE_EXIT
14,3,0.78,-0.64,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
15,3,0.24,-0.14,FAILED_TO_RECOVER,8,,14,FAILURE_EXIT
16,3,2.11,0.28,RECOVERED,1,2.0,2,RECOVERY_EXIT
17,3,-1.2,-1.02,FAILED_TO_RECOVER,1,,7,FAILURE_EXIT
18,3,-0.46,-1.12,FAILED_TO_RECOVER,2,,8,FAILURE_EXIT
19,3,-0.34,-1.6,FAILED_TO_RECOVER,5,,11,FAILURE_EXIT
20,3,-0.38,-0.69,FAILED_TO_RECOVER,8,,14,FAILURE_EXIT
21,3,-0.35,-0.46,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
22,3,-1.93,-0.64,FAILED_TO_RECOVER,2,,8,FAILURE_EXIT
23,4,0.09,0.38,RECOVERED,3,6.0,6,RECOVERY_EXIT
24,5,-6.46,-4.11,FAILED_TO_RECOVER,1,,7,FAILURE_EXIT
25,5,-0.08,-0.73,FAILED_TO_RECOVER,5,,11,FAILURE_EXIT
26,5,-1.35,-0.76,FAILED_TO_RECOVER,5,,11,FAILURE_EXIT
27,5,-0.39,-0.95,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
28,5,-1.04,-1.21,FAILED_TO_RECOVER,2,,8,FAILURE_EXIT
29,5,-2.71,0.25,RECOVERED,1,2.0,2,RECOVERY_EXIT
30,5,-1.97,-0.07,FAILED_TO_RECOVER,2,,8,FAILURE_EXIT
31,6,-0.77,-0.95,FAILED_TO_RECOVER,7,,13,FAILURE_EXIT
32,6,-0.83,-0.78,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
33,6,-0.62,-0.56,FAILED_TO_RECOVER,7,,13,FAILURE_EXIT
34,6,-1.81,-0.84,FAILED_TO_RECOVER,4,,10,FAILURE_EXIT
35,6,-1.56,-0.51,FAILED_TO_RECOVER,6,,12,FAILURE_EXIT
36,6,0.35,0.25,RECOVERED,6,10.0,10,RECOVERY_EXIT
37,6,1.25,0.35,RECOVERED,3,7.0,7,RECOVERY_EXIT
38,6,0.55,-0.3,FAILED_TO_RECOVER,7,,13,FAILURE_EXIT
39,6,-1.43,-1.24,FAILED_TO_RECOVER,5,,11,FAILURE_EXIT
40,6,-2.92,0.53,RECOVERED,4,8.0,8,RECOVERY_EXIT
41,6,-0.47,-0.35,FAILED_TO_RECOVER,7,,13,FAILURE_EXIT
42,6,0.1,-0.58,FAILED_TO_RECOVER,4,,10,FAILURE_EXIT
43,6,-0.61,-0.48,FAILED_TO_RECOVER,6,,12,FAILURE_EXIT
44,6,-0.8,-1.63,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
45,6,-0.51,-0.89,FAILED_TO_RECOVER,3,,9,FAILURE_EXIT
