window,trades,triggered,recovered,failed_recovery,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,19,4,15,-17.270000000000003,-11.24,6.030000000000003,0.2631578947368421,0.3157894736842105,0.24814976055724858,0.17896274653031408,-16.51,-9.780000000000001
13,1,1,0,1,1.46,-0.19,-1.65,1.0,0.0,inf,0.0,0.0,0.0
14,20,20,5,15,-6.62,-12.009999999999998,-5.389999999999998,0.3,0.25,0.4380305602716469,0.10239162929745889,-7.8100000000000005,-10.869999999999997
15,3,3,1,2,-3.53,-1.16,2.37,0.0,0.3333333333333333,0.0,0.18309859154929578,-2.8699999999999997,-0.58
16,2,2,2,0,1.15,1.24,0.09000000000000008,0.5,1.0,2.4935064935064934,inf,-0.77,0.0
18,9,9,2,7,-6.6899999999999995,-3.49,3.1999999999999993,0.2222222222222222,0.3333333333333333,0.053748231966053744,0.15700483091787443,-4.489999999999999,-2.1399999999999997
19,2,2,1,1,-0.41999999999999993,-0.89,-0.4700000000000001,0.5,0.5,0.8839779005524863,0.42580645161290326,0.0,0.0
20,33,33,9,24,-26.269999999999996,-19.2,7.069999999999997,0.2727272727272727,0.30303030303030304,0.3101365546218487,0.18918918918918917,-27.070000000000004,-18.08
21,1,1,1,0,3.94,0.94,-3.0,1.0,1.0,inf,inf,0.0,0.0
22,10,10,2,8,-11.400000000000002,-5.6899999999999995,5.710000000000003,0.1,0.3,0.03307888040712468,0.08814102564102565,-8.63,-5.06
