sample,block_length,metric,quantile,value
FULL_DATASET,5,total_R,P05,7.675980000000006
FULL_DATASET,5,total_R,P50,49.485800000000005
FULL_DATASET,5,total_R,P95,90.81745999999998
FULL_DATASET,5,mean_R,P05,0.014294189944134091
FULL_DATASET,5,mean_R,P50,0.09215232774674117
FULL_DATASET,5,mean_R,P95,0.1691200372439478
FULL_DATASET,5,win_rate,P05,0.47113594040968343
FULL_DATASET,5,win_rate,P50,0.5065176908752328
FULL_DATASET,5,win_rate,P95,0.5418994413407822
FULL_DATASET,5,max_DD,P05,-28.654079999999983
FULL_DATASET,5,max_DD,P50,-15.571799999999996
FULL_DATASET,5,max_DD,P95,-9.495620000000006
FULL_DATASET,10,total_R,P05,6.521560000000003
FULL_DATASET,10,total_R,P50,49.6144
FULL_DATASET,10,total_R,P95,93.40862000000001
FULL_DATASET,10,mean_R,P05,0.012144432029795165
FULL_DATASET,10,mean_R,P50,0.09239180633147115
FULL_DATASET,10,mean_R,P95,0.1739452886405959
FULL_DATASET,10,win_rate,P05,0.47113594040968343
FULL_DATASET,10,win_rate,P50,0.5065176908752328
FULL_DATASET,10,win_rate,P95,0.5418994413407822
FULL_DATASET,10,max_DD,P05,-30.04161999999998
FULL_DATASET,10,max_DD,P50,-16.24219999999999
FULL_DATASET,10,max_DD,P95,-9.70898
FULL_DATASET,20,total_R,P05,4.324380000000006
FULL_DATASET,20,total_R,P50,49.48680000000001
FULL_DATASET,20,total_R,P95,93.768
FULL_DATASET,20,mean_R,P05,0.008052849162011185
FULL_DATASET,20,mean_R,P50,0.0921541899441341
FULL_DATASET,20,mean_R,P95,0.1746145251396648
FULL_DATASET,20,win_rate,P05,0.47113594040968343
FULL_DATASET,20,win_rate,P50,0.5065176908752328
FULL_DATASET,20,win_rate,P95,0.5418994413407822
FULL_DATASET,20,max_DD,P05,-31.738159999999986
FULL_DATASET,20,max_DD,P50,-17.013800000000053
FULL_DATASET,20,max_DD,P95,-9.987039999999993
DEVELOPMENT,5,total_R,P05,-16.769360000000006
DEVELOPMENT,5,total_R,P50,14.758200000000002
DEVELOPMENT,5,total_R,P95,45.53725999999999
DEVELOPMENT,5,mean_R,P05,-0.05240425000000001
DEVELOPMENT,5,mean_R,P50,0.04611937500000001
DEVELOPMENT,5,mean_R,P95,0.14230393749999995
DEVELOPMENT,5,win_rate,P05,0.434375
DEVELOPMENT,5,win_rate,P50,0.484375
DEVELOPMENT,5,win_rate,P95,0.53125
DEVELOPMENT,5,max_DD,P05,-31.491199999999964
DEVELOPMENT,5,max_DD,P50,-15.590799999999998
DEVELOPMENT,5,max_DD,P95,-8.655900000000017
DEVELOPMENT,10,total_R,P05,-16.850779999999997
DEVELOPMENT,10,total_R,P50,15.270200000000003
DEVELOPMENT,10,total_R,P95,47.74312
DEVELOPMENT,10,mean_R,P05,-0.05265868749999999
DEVELOPMENT,10,mean_R,P50,0.04771937500000001
DEVELOPMENT,10,mean_R,P95,0.14919725
DEVELOPMENT,10,win_rate,P05,0.4375
DEVELOPMENT,10,win_rate,P50,0.484375
DEVELOPMENT,10,win_rate,P95,0.53125
DEVELOPMENT,10,max_DD,P05,-32.33753999999999
DEVELOPMENT,10,max_DD,P50,-16.151799999999998
DEVELOPMENT,10,max_DD,P95,-8.850739999999998
DEVELOPMENT,20,total_R,P05,-19.331899999999994
DEVELOPMENT,20,total_R,P50,14.852800000000002
DEVELOPMENT,20,total_R,P95,48.173259999999985
DEVELOPMENT,20,mean_R,P05,-0.060412187499999985
DEVELOPMENT,20,mean_R,P50,0.04641500000000001
DEVELOPMENT,20,mean_R,P95,0.15054143749999996
DEVELOPMENT,20,win_rate,P05,0.4375
DEVELOPMENT,20,win_rate,P50,0.484375
DEVELOPMENT,20,win_rate,P95,0.528125
DEVELOPMENT,20,max_DD,P05,-35.84589999999999
DEVELOPMENT,20,max_DD,P50,-17.239
DEVELOPMENT,20,max_DD,P95,-9.236460000000005
HOLDOUT_OOS,5,total_R,P05,7.774020000000003
HOLDOUT_OOS,5,total_R,P50,34.56100000000001
HOLDOUT_OOS,5,total_R,P95,61.445499999999996
HOLDOUT_OOS,5,mean_R,P05,0.03582497695852536
HOLDOUT_OOS,5,mean_R,P50,0.1592672811059908
HOLDOUT_OOS,5,mean_R,P95,0.2831589861751152
HOLDOUT_OOS,5,win_rate,P05,0.4930875576036866
HOLDOUT_OOS,5,win_rate,P50,0.5391705069124424
HOLDOUT_OOS,5,win_rate,P95,0.5852534562211982
HOLDOUT_OOS,5,max_DD,P05,-17.104099999999992
HOLDOUT_OOS,5,max_DD,P50,-9.2854
HOLDOUT_OOS,5,max_DD,P95,-5.641940000000001
HOLDOUT_OOS,10,total_R,P05,6.865560000000001
HOLDOUT_OOS,10,total_R,P50,33.94680000000001
HOLDOUT_OOS,10,total_R,P95,62.1929
HOLDOUT_OOS,10,mean_R,P05,0.03163852534562213
HOLDOUT_OOS,10,mean_R,P50,0.15643686635944704
HOLDOUT_OOS,10,mean_R,P95,0.2866032258064516
HOLDOUT_OOS,10,win_rate,P05,0.4930875576036866
HOLDOUT_OOS,10,win_rate,P50,0.5391705069124424
HOLDOUT_OOS,10,win_rate,P95,0.5898617511520737
HOLDOUT_OOS,10,max_DD,P05,-17.43316
HOLDOUT_OOS,10,max_DD,P50,-9.562000000000001
HOLDOUT_OOS,10,max_DD,P95,-5.697480000000007
HOLDOUT_OOS,20,total_R,P05,7.244680000000005
HOLDOUT_OOS,20,total_R,P50,34.1212
HOLDOUT_OOS,20,total_R,P95,62.96224000000001
HOLDOUT_OOS,20,mean_R,P05,0.03338562211981569
HOLDOUT_OOS,20,mean_R,P50,0.15724055299539172
HOLDOUT_OOS,20,mean_R,P95,0.2901485714285715
HOLDOUT_OOS,20,win_rate,P05,0.48847926267281105
HOLDOUT_OOS,20,win_rate,P50,0.5391705069124424
HOLDOUT_OOS,20,win_rate,P95,0.5898617511520737
HOLDOUT_OOS,20,max_DD,P05,-15.73122
HOLDOUT_OOS,20,max_DD,P50,-9.142800000000003
HOLDOUT_OOS,20,max_DD,P95,-5.7276000000000025
