window,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,gross_profit_R,gross_loss_R
12,43,0.4143999999999983,0.009637209302325542,0.5116279069767442,1.0205706570299624,-5.1532,20.559599999999996,20.1452
13,1,-0.19,-0.19,0.0,0.0,-0.19,0.0,0.19
14,44,14.2944,0.32487272727272726,0.5909090909090909,1.9214346492019698,-3.5643999999999973,29.8076,15.513200000000001
15,5,2.2512,0.45024,0.6,2.5853521126760564,-0.84,3.6712,1.42
16,8,5.4636000000000005,0.6829500000000001,0.875,6.231328992723094,-1.0443999999999996,6.508,1.0444
17,5,3.2580000000000005,0.6516000000000001,0.6,2.7527437056165267,-1.0444,5.1168,1.8588
18,20,0.7115999999999999,0.035579999999999994,0.5,1.095419437888865,-4.0264,8.1692,7.4576
19,2,-0.89,-0.445,0.5,0.42580645161290326,-1.55,0.66,1.55
20,71,7.012800000000003,0.09877183098591553,0.5070422535211268,1.2091949359838672,-7.7644,40.53559999999999,33.522800000000004
21,1,0.94,0.94,1.0,inf,0.0,0.94,-0.0
22,17,1.0792,0.06348235294117646,0.47058823529411764,1.1474558670820354,-3.3275999999999994,8.398,7.3187999999999995
