mae_threshold,recovery_level,deadline,full_trades,full_total_R,full_mean_R,full_win_rate,full_profit_factor,full_max_drawdown_R,oos_trades,oos_total_R,oos_mean_R,oos_win_rate,oos_profit_factor,oos_max_drawdown_R,delta_OOS_R_vs_frozen,positive_OOS,positive_mean_R,PF_above_1,relative_to_frozen,distance
0.7,0.2,6,195,-125.51999999999998,-0.6436923076923076,0.2,0.17608817799436027,-125.51999999999978,100,-64.4884,-0.644884,0.22,0.1912990700147474,-64.48840000000011,0.0,False,False,False,1.0,0.0
0.65,0.2,6,195,-125.51999999999998,-0.6436923076923076,0.2,0.17608817799436027,-125.51999999999978,100,-64.4884,-0.644884,0.22,0.1912990700147474,-64.48840000000011,0.0,False,False,False,1.0,0.04999999999999993
0.7,0.2,7,195,-126.90359999999997,-0.6507876923076922,0.21025641025641026,0.15542641437105348,-126.9035999999998,100,-66.26079999999997,-0.6626079999999998,0.23,0.1580456118771824,-66.2608000000001,-1.7723999999999762,False,False,False,1.0274840126286273,0.05
0.7,0.2,5,195,-123.7764,-0.6347507692307692,0.19487179487179487,0.1930650338872997,-124.87439999999981,100,-63.726,-0.6372599999999999,0.21,0.21119082631492958,-63.7260000000001,0.7623999999999995,False,False,False,0.9881777187835332,0.05
0.75,0.2,6,195,-125.51999999999998,-0.6436923076923076,0.2,0.17608817799436027,-125.51999999999978,100,-64.4884,-0.644884,0.22,0.1912990700147474,-64.48840000000011,0.0,False,False,False,1.0,0.050000000000000044
0.65,0.2,7,195,-126.90359999999997,-0.6507876923076922,0.21025641025641026,0.15542641437105348,-126.9035999999998,100,-66.26079999999997,-0.6626079999999998,0.23,0.1580456118771824,-66.2608000000001,-1.7723999999999762,False,False,False,1.0274840126286273,0.09999999999999994
0.65,0.2,5,195,-123.7764,-0.6347507692307692,0.19487179487179487,0.1930650338872997,-124.87439999999981,100,-63.726,-0.6372599999999999,0.21,0.21119082631492958,-63.7260000000001,0.7623999999999995,False,False,False,0.9881777187835332,0.09999999999999994
0.7,0.3,6,195,-129.16759999999996,-0.6623979487179485,0.1794871794871795,0.17477447547979866,-129.16759999999982,100,-69.58599999999998,-0.6958599999999998,0.18,0.170813433618364,-69.5860000000001,-5.097599999999986,False,False,False,1.0790467743035954,0.09999999999999998
0.6,0.2,6,195,-123.98559999999999,-0.6358235897435897,0.20512820512820512,0.18054222680466886,-123.98559999999979,100,-62.954,-0.62954,0.23,0.20006404163722966,-62.95400000000011,1.534399999999998,False,False,False,0.976206573585327,0.09999999999999998
0.7,0.2,4,195,-130.09719999999996,-0.667165128205128,0.1641025641025641,0.1804239963915201,-131.19519999999977,100,-68.40799999999997,-0.6840799999999997,0.17,0.19487037045755212,-68.40800000000009,-3.919599999999974,False,False,False,1.0607799232109958,0.1
