sample,metric,quantile,value
FULL_DATASET,MC_TOTAL_R,0.01,49.265199999999666
FULL_DATASET,MC_TOTAL_R,0.05,49.265199999999716
FULL_DATASET,MC_TOTAL_R,0.1,49.265199999999744
FULL_DATASET,MC_TOTAL_R,0.25,49.2651999999998
FULL_DATASET,MC_TOTAL_R,0.5,49.26519999999987
FULL_DATASET,MC_TOTAL_R,0.75,49.26519999999993
FULL_DATASET,MC_TOTAL_R,0.9,49.26519999999997
FULL_DATASET,MC_TOTAL_R,0.95,49.26519999999999
FULL_DATASET,MC_TOTAL_R,0.99,49.265200000000014
FULL_DATASET,MC_MAX_DD_R,0.01,-28.595347999999994
FULL_DATASET,MC_MAX_DD_R,0.05,-23.60049999999998
FULL_DATASET,MC_MAX_DD_R,0.1,-21.294359999999998
FULL_DATASET,MC_MAX_DD_R,0.25,-17.87770000000003
FULL_DATASET,MC_MAX_DD_R,0.5,-14.899600000000017
FULL_DATASET,MC_MAX_DD_R,0.75,-12.602800000000043
FULL_DATASET,MC_MAX_DD_R,0.9,-10.982319999999996
FULL_DATASET,MC_MAX_DD_R,0.95,-10.245179999999998
FULL_DATASET,MC_MAX_DD_R,0.99,-8.971583999999988
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.01,-8.103103999999991
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.05,9.630620000000015
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.1,18.375800000000012
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.25,32.436800000000005
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.5,48.922000000000004
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.75,65.30930000000001
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.9,79.93296000000001
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.95,88.77686
FULL_DATASET,BOOTSTRAP_TOTAL_R,0.99,106.258484
FULL_DATASET,BOOTSTRAP_MEAN_R,0.01,-0.015089579143389183
FULL_DATASET,BOOTSTRAP_MEAN_R,0.05,0.017934115456238388
FULL_DATASET,BOOTSTRAP_MEAN_R,0.1,0.03421936685288643
FULL_DATASET,BOOTSTRAP_MEAN_R,0.25,0.06040372439478586
FULL_DATASET,BOOTSTRAP_MEAN_R,0.5,0.09110242085661081
FULL_DATASET,BOOTSTRAP_MEAN_R,0.75,0.12161880819366853
FULL_DATASET,BOOTSTRAP_MEAN_R,0.9,0.14885094972067042
FULL_DATASET,BOOTSTRAP_MEAN_R,0.95,0.16532003724394786
FULL_DATASET,BOOTSTRAP_MEAN_R,0.99,0.19787427188081935
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.01,0.4581005586592179
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.05,0.47113594040968343
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.1,0.478584729981378
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.25,0.49162011173184356
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.5,0.5065176908752328
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.75,0.521415270018622
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.9,0.5344506517690876
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.95,0.5418994413407822
FULL_DATASET,BOOTSTRAP_WIN_RATE,0.99,0.5567970204841713
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.01,-36.64725199999997
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.05,-28.143299999999996
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.1,-24.142399999999995
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.25,-19.210500000000003
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.5,-15.157000000000002
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.75,-12.180900000000001
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.9,-10.186959999999997
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.95,-9.204600000000003
FULL_DATASET,BOOTSTRAP_MAX_DD_R,0.99,-7.727587999999995
DEVELOPMENT,MC_TOTAL_R,0.01,14.920000000000002
DEVELOPMENT,MC_TOTAL_R,0.05,14.920000000000007
DEVELOPMENT,MC_TOTAL_R,0.1,14.920000000000009
DEVELOPMENT,MC_TOTAL_R,0.25,14.920000000000014
DEVELOPMENT,MC_TOTAL_R,0.5,14.92000000000002
DEVELOPMENT,MC_TOTAL_R,0.75,14.920000000000028
DEVELOPMENT,MC_TOTAL_R,0.9,14.920000000000037
DEVELOPMENT,MC_TOTAL_R,0.95,14.920000000000044
DEVELOPMENT,MC_TOTAL_R,0.99,14.920000000000053
DEVELOPMENT,MC_MAX_DD_R,0.01,-25.787263999999993
DEVELOPMENT,MC_MAX_DD_R,0.05,-21.85611999999998
DEVELOPMENT,MC_MAX_DD_R,0.1,-19.754879999999986
DEVELOPMENT,MC_MAX_DD_R,0.25,-16.669199999999986
DEVELOPMENT,MC_MAX_DD_R,0.5,-13.721599999999995
DEVELOPMENT,MC_MAX_DD_R,0.75,-11.510099999999989
DEVELOPMENT,MC_MAX_DD_R,0.9,-9.895199999999999
DEVELOPMENT,MC_MAX_DD_R,0.95,-9.145999999999999
DEVELOPMENT,MC_MAX_DD_R,0.99,-7.988728000000002
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.01,-25.573207999999994
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.05,-13.676519999999996
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.1,-7.467159999999997
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.25,3.209300000000007
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.5,14.971000000000007
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.75,26.9734
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.9,36.90872000000001
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.95,42.818119999999965
DEVELOPMENT,BOOTSTRAP_TOTAL_R,0.99,54.97256400000002
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.01,-0.07991627499999998
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.05,-0.04273912499999999
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.1,-0.02333487499999999
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.25,0.010029062500000022
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.5,0.046784375000000024
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.75,0.08429187500000002
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.9,0.11533975000000003
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.95,0.1338066249999999
DEVELOPMENT,BOOTSTRAP_MEAN_R,0.99,0.17178926250000007
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.01,0.41875
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.05,0.4375
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.1,0.45
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.25,0.465625
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.5,0.484375
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.75,0.503125
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.9,0.51875
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.95,0.53125
DEVELOPMENT,BOOTSTRAP_WIN_RATE,0.99,0.55
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.01,-35.881675999999985
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.05,-27.961079999999978
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.1,-24.157879999999995
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.25,-18.532199999999996
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.5,-14.084999999999992
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.75,-10.891600000000013
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.9,-8.756799999999997
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.95,-7.709800000000002
DEVELOPMENT,BOOTSTRAP_MAX_DD_R,0.99,-6.350779999999999
HOLDOUT_OOS,MC_TOTAL_R,0.01,34.34519999999987
HOLDOUT_OOS,MC_TOTAL_R,0.05,34.34519999999991
HOLDOUT_OOS,MC_TOTAL_R,0.1,34.345199999999934
HOLDOUT_OOS,MC_TOTAL_R,0.25,34.34519999999996
HOLDOUT_OOS,MC_TOTAL_R,0.5,34.34519999999999
HOLDOUT_OOS,MC_TOTAL_R,0.75,34.345200000000006
HOLDOUT_OOS,MC_TOTAL_R,0.9,34.34520000000002
HOLDOUT_OOS,MC_TOTAL_R,0.95,34.34520000000002
HOLDOUT_OOS,MC_TOTAL_R,0.99,34.34520000000003
HOLDOUT_OOS,MC_MAX_DD_R,0.01,-19.61040400000003
HOLDOUT_OOS,MC_MAX_DD_R,0.05,-15.997599999999991
HOLDOUT_OOS,MC_MAX_DD_R,0.1,-14.456159999999999
HOLDOUT_OOS,MC_MAX_DD_R,0.25,-12.117200000000008
HOLDOUT_OOS,MC_MAX_DD_R,0.5,-10.050199999999998
HOLDOUT_OOS,MC_MAX_DD_R,0.75,-8.477199999999998
HOLDOUT_OOS,MC_MAX_DD_R,0.9,-7.308360000000011
HOLDOUT_OOS,MC_MAX_DD_R,0.95,-6.771839999999997
HOLDOUT_OOS,MC_MAX_DD_R,0.99,-5.893071999999997
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.01,-4.2029279999999964
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.05,6.389179999999998
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.1,12.675080000000001
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.25,22.774100000000004
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.5,34.369400000000006
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.75,45.689400000000006
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.9,55.90260000000001
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.95,62.37557999999997
HOLDOUT_OOS,BOOTSTRAP_TOTAL_R,0.99,73.705684
HOLDOUT_OOS,BOOTSTRAP_MEAN_R,0.01,-0.019368331797235006
HOLDOUT_OOS,BOOTSTRAP_MEAN_R,0.05,0.029443225806451603
HOLDOUT_OOS,BOOTSTRAP_MEAN_R,0.1,0.0584105069124424
HOLDOUT_OOS,BOOTSTRAP_MEAN_R,0.25,0.10494976958525348
HOLDOUT_OOS,BOOTSTRAP_MEAN_R,0.5,0.15838433179723505
