feature,outcome,trades,mean,median,q25,q50,q75
early_1_MFE_R,WIN,244,0.32885245901639343,0.24,0.1075,0.24,0.47
early_1_MFE_R,LOSS,293,0.21682593856655294,0.15,0.05,0.15,0.31
early_1_MAE_R,WIN,244,0.2014344262295082,0.17,0.07,0.17,0.29
early_1_MAE_R,LOSS,293,0.30559726962457334,0.26,0.14,0.26,0.43
early_1_close_R,WIN,244,0.11631147540983607,0.065,-0.09,0.065,0.28
early_1_close_R,LOSS,293,-0.07634812286689419,-0.09,-0.29,-0.09,0.09
early_1_range_R,WIN,244,0.5302868852459016,0.45,0.3475,0.45,0.6325000000000001
early_1_range_R,LOSS,293,0.5224232081911263,0.46,0.35,0.46,0.66
early_1_favorable,WIN,244,0.569672131147541,1.0,0.0,1.0,1.0
early_1_favorable,LOSS,293,0.3856655290102389,0.0,0.0,0.0,1.0
early_2_MFE_R,WIN,244,0.5,0.37,0.19,0.37,0.7224999999999999
early_2_MFE_R,LOSS,293,0.27993174061433446,0.21,0.07,0.21,0.39
early_2_MAE_R,WIN,244,0.2505327868852459,0.22,0.09,0.22,0.3425
early_2_MAE_R,LOSS,293,0.43607508532423206,0.38,0.21,0.38,0.61
early_2_close_R,WIN,244,0.21196721311475408,0.135,-0.0925,0.135,0.445
early_2_close_R,LOSS,293,-0.15641638225255972,-0.15,-0.44,-0.15,0.13
early_2_range_R,WIN,244,0.750532786885246,0.64,0.48,0.64,0.925
early_2_range_R,LOSS,293,0.7160068259385666,0.66,0.49,0.66,0.91
early_2_favorable,WIN,244,0.6475409836065574,1.0,0.0,1.0,1.0
early_2_favorable,LOSS,293,0.32081911262798635,0.0,0.0,0.0,1.0
early_3_MFE_R,WIN,244,0.6221311475409836,0.5,0.26,0.5,0.8225
early_3_MFE_R,LOSS,293,0.318259385665529,0.22,0.09,0.22,0.46
early_3_MAE_R,WIN,244,0.2889754098360656,0.255,0.1,0.255,0.41
early_3_MAE_R,LOSS,293,0.5435153583617748,0.48,0.28,0.48,0.76
early_3_close_R,WIN,244,0.2772131147540984,0.185,-0.11,0.185,0.5525
early_3_close_R,LOSS,293,-0.22160409556313995,-0.21,-0.51,-0.21,0.06
early_3_range_R,WIN,244,0.9111065573770493,0.82,0.57,0.82,1.0975000000000001
early_3_range_R,LOSS,293,0.8617747440273037,0.78,0.6,0.78,1.03
early_3_favorable,WIN,244,0.6926229508196722,1.0,0.0,1.0,1.0
early_3_favorable,LOSS,293,0.32081911262798635,0.0,0.0,0.0,1.0
early_5_MFE_R,WIN,244,0.8271721311475411,0.68,0.34,0.68,1.1724999999999999
early_5_MFE_R,LOSS,293,0.3760409556313993,0.28,0.1,0.28,0.54
early_5_MAE_R,WIN,244,0.3411475409836066,0.305,0.14,0.305,0.4925
early_5_MAE_R,LOSS,293,0.7189419795221843,0.64,0.4,0.64,0.96
early_5_close_R,WIN,244,0.4112295081967213,0.315,-0.08,0.315,0.7424999999999999
early_5_close_R,LOSS,293,-0.31733788395904433,-0.32,-0.64,-0.32,0.05
early_5_range_R,WIN,244,1.1683196721311477,1.02,0.79,1.02,1.395
early_5_range_R,LOSS,293,1.0949829351535836,1.01,0.76,1.01,1.35
early_5_favorable,WIN,244,0.7049180327868853,1.0,0.0,1.0,1.0
early_5_favorable,LOSS,293,0.2696245733788396,0.0,0.0,0.0,1.0
early_8_MFE_R,WIN,244,1.1140573770491804,0.965,0.495,0.965,1.5375
early_8_MFE_R,LOSS,293,0.44706484641638217,0.33,0.13,0.33,0.61
early_8_MAE_R,WIN,244,0.37508196721311465,0.34,0.15,0.34,0.54
early_8_MAE_R,LOSS,293,0.8911945392491468,0.81,0.53,0.81,1.14
early_8_close_R,WIN,244,0.623688524590164,0.43,0.09,0.43,1.0750000000000002
early_8_close_R,LOSS,293,-0.41501706484641643,-0.4,-0.79,-0.4,-0.02
early_8_range_R,WIN,244,1.489139344262295,1.295,0.97,1.295,1.84
early_8_range_R,LOSS,293,1.338259385665529,1.21,0.91,1.21,1.56
early_8_favorable,WIN,244,0.7663934426229508,1.0,1.0,1.0,1.0
early_8_favorable,LOSS,293,0.24914675767918087,0.0,0.0,0.0,0.0
