entry_vol_bucket,entry_time_bucket,trades,wins,losses,mean_R,median_R,total_R,mean_holding_bars,median_holding_bars,win_rate
60-80,13:00-14:30,13,10,3,0.6627692307692308,1.2445,8.616,6.230769230769231,7.0,0.7692307692307693
40-60,13:00-14:30,38,18,20,0.16555263157894734,-0.0492499999999999,6.290999999999999,8.710526315789474,8.5,0.47368421052631576
40-60,09:30-10:00,24,12,12,0.09449999999999992,0.09449999999999992,2.267999999999998,5.791666666666667,4.0,0.5
20-40,11:30-13:00,12,6,6,0.14137500000000003,0.09450000000000006,1.6965000000000003,14.083333333333334,15.0,0.5
60-80,14:30-15:30,11,6,5,0.1467727272727272,0.6695,1.6144999999999992,4.2727272727272725,4.0,0.5454545454545454
20-40,10:00-10:30,1,1,0,1.2445,1.2445,1.2445,4.0,4.0,1.0
40-60,15:30-16:00,10,4,6,0.062000000000000034,-0.13674999999999998,0.6200000000000003,14.7,15.0,0.4
80-100,09:30-10:00,6,3,3,0.09449999999999992,0.09449999999999992,0.5669999999999995,4.5,4.0,0.5
20-40,10:30-11:30,2,1,1,0.2507500000000001,0.2507500000000001,0.5015000000000002,15.0,15.0,0.5
20-40,09:30-10:00,2,1,1,0.09449999999999992,0.09449999999999992,0.18899999999999983,4.0,4.0,0.5
40-60,10:30-11:30,17,9,8,0.002588235294117594,0.0945,0.043999999999999095,10.294117647058824,11.0,0.5294117647058824
20-40,15:30-16:00,2,1,1,-0.011749999999999955,-0.011749999999999955,-0.02349999999999991,15.0,15.0,0.5
40-60,10:00-10:30,11,5,6,-0.07822727272727281,-1.0555,-0.8605000000000009,7.545454545454546,5.0,0.45454545454545453
0-20,09:30-10:00,1,0,1,-1.0555,-1.0555,-1.0555,2.0,2.0,0.0
60-80,10:00-10:30,12,5,7,-0.09716666666666675,-1.0555,-1.166000000000001,6.833333333333333,6.5,0.4166666666666667
0-20,15:30-16:00,4,1,3,-0.293,-0.42424999999999996,-1.172,13.75,15.0,0.25
0-20,10:00-10:30,2,0,2,-0.69925,-0.69925,-1.3985,13.0,13.0,0.0
20-40,13:00-14:30,7,3,4,-0.2305000000000001,-1.0555,-1.6135000000000006,10.142857142857142,8.0,0.42857142857142855
80-100,15:30-16:00,4,1,3,-0.4805000000000001,-1.0555,-1.9220000000000004,1.0,1.0,0.25
40-60,14:30-15:30,24,10,14,-0.09247916666666671,-0.3304999999999999,-2.219500000000001,9.125,7.5,0.4166666666666667
60-80,15:30-16:00,6,2,4,-0.38466666666666677,-1.0555,-2.3080000000000007,4.0,2.0,0.3333333333333333
80-100,10:30-11:30,7,2,5,-0.39835714285714297,-1.0555,-2.788500000000001,5.142857142857143,5.0,0.2857142857142857
80-100,13:00-14:30,7,2,5,-0.39835714285714297,-1.0555,-2.788500000000001,4.142857142857143,3.0,0.2857142857142857
0-20,11:30-13:00,10,4,6,-0.28550000000000003,-0.23049999999999995,-2.8550000000000004,13.1,15.0,0.4
20-40,14:30-15:30,7,2,5,-0.42692857142857144,-0.743,-2.9885,12.571428571428571,15.0,0.2857142857142857
80-100,14:30-15:30,3,0,3,-1.0555,-1.0555,-3.1665,1.3333333333333333,1.0,0.0
60-80,11:30-13:00,16,6,10,-0.2109687500000001,-1.0555,-3.3755000000000015,6.0,4.5,0.375
40-60,11:30-13:00,30,13,17,-0.12925000000000003,-0.5429999999999999,-3.8775000000000013,8.466666666666667,7.5,0.43333333333333335
60-80,09:30-10:00,19,7,12,-0.2081315789473685,-1.0555,-3.9545000000000017,5.894736842105263,5.0,0.3684210526315789
0-20,14:30-15:30,18,6,12,-0.2228611111111111,-0.4555,-4.0115,12.722222222222221,15.0,0.3333333333333333
60-80,10:30-11:30,11,3,8,-0.42822727272727285,-1.0555,-4.7105000000000015,5.363636363636363,5.0,0.2727272727272727
0-20,13:00-14:30,13,4,9,-0.41126923076923083,-0.9555,-5.346500000000001,11.846153846153847,15.0,0.3076923076923077
80-100,10:00-10:30,7,0,7,-1.0555,-1.0555,-7.3885000000000005,3.857142857142857,3.0,0.0
