window,train_start,validation_start,validation_end,stop_points,rr,horizon,trades,wins,losses,WR,mean_R,total_R,PF,max_DD_R,worst_streak
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,10,37,18,19,0.4864864864864865,-0.004630630630630616,-0.17133333333333278,0.9889623775983508,-6.128666666666667,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,15,35,17,18,0.4857142857142857,-0.062095238095238106,-2.173333333333334,0.8739999226993389,-6.195333333333333,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,20,34,16,18,0.47058823529411764,-0.11615686274509802,-3.9493333333333327,0.7791447638220929,-6.095333333333332,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,10,37,18,19,0.4864864864864865,0.06879279279279278,2.545333333333333,1.1639752619824772,-5.37,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,15,35,16,19,0.45714285714285713,0.026952380952380933,0.9433333333333326,1.0541958711555401,-5.37,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,20,34,15,19,0.4411764705882353,-0.05439215686274509,-1.849333333333333,0.9014004407478492,-5.37,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,10,36,16,20,0.4444444444444444,0.03248148148148144,1.1693333333333318,1.0735583979869994,-5.370000000000001,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,15,33,15,18,0.45454545454545453,0.05680808080808079,1.874666666666666,1.1110452947912963,-5.37,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,20,32,14,18,0.4375,0.006208333333333316,0.1986666666666661,1.011109868396525,-5.37,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,10,36,16,20,0.4444444444444444,0.052388888888888846,1.8859999999999983,1.1186412245753827,-5.412000000000001,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,15,33,15,18,0.45454545454545453,0.13307070707070703,4.391333333333332,1.260119259171504,-5.369999999999999,5
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,20,32,14,18,0.4375,0.09110416666666665,2.915333333333333,1.1630317265033736,-5.37,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,10,36,19,17,0.5277777777777778,0.07609722222222225,2.739500000000001,1.2532236446827196,-3.4969999999999994,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,15,34,17,17,0.5,0.008102941176470629,0.27550000000000135,1.02045513605821,-3.4049999999999994,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,20,33,15,18,0.45454545454545453,-0.099060606060606,-3.268999999999998,0.799127442546393,-5.1789999999999985,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,10,35,17,18,0.4857142857142857,0.06771428571428574,2.370000000000001,1.2088289717155696,-3.629999999999999,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,15,32,16,16,0.5,0.09684374999999995,3.0989999999999984,1.2416280067053915,-3.1664999999999996,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,20,31,14,17,0.45161290322580644,-0.0050967741935483415,-0.15799999999999859,0.9898837916573295,-3.7469999999999994,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,10,35,17,18,0.4857142857142857,0.07092857142857148,2.4825000000000017,1.218741739360296,-4.004999999999999,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,15,32,16,16,0.5,0.14098437500000005,4.511500000000002,1.3517601652957003,-3.1664999999999996,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,20,31,14,17,0.45161290322580644,0.012241935483871055,0.3795000000000027,1.0242981080129334,-3.747,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,10,35,17,18,0.4857142857142857,0.0855714285714286,2.995000000000001,1.263899903075161,-4.742499999999999,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,15,32,16,16,0.5,0.1730156250000001,5.536500000000003,1.4316790768391097,-3.1664999999999996,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,20,31,14,17,0.45161290322580644,0.0767580645161291,2.379500000000002,1.1523513781733203,-3.7469999999999994,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,10,34,17,17,0.5,0.1144235294117647,3.8903999999999996,1.5095614816367162,-1.6076,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,15,31,16,15,0.5161290322580645,0.07656774193548388,2.3736,1.236038186157518,-1.6676,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,20,30,14,16,0.4666666666666667,0.014600000000000009,0.4380000000000003,1.0377247984565563,-2.7108,6
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,10,34,17,17,0.5,0.11854117647058825,4.0304,1.5278985697071308,-1.7375999999999998,4
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,15,31,16,15,0.5161290322580645,0.1388258064516129,4.3036,1.4279634049323788,-1.7776,3
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,20,30,14,16,0.4666666666666667,0.0662666666666667,1.9880000000000009,1.1712257975608074,-3.0208,6
