stop_points,rr,horizon,windows_with_trades,positive_windows,positive_window_pct,total_trades,wins,losses,overall_WR,total_R,mean_window_R,median_window_R,mean_trade_R,median_PF,best_window_R,worst_window_R,mean_max_DD_R,worst_max_DD_R
15.0,1.0,10,22,8,0.36363636363636365,750,374,376,0.49866666666666665,-36.849999999999994,-1.6749999999999998,-1.074,-0.04913333333333333,0.8203370061852249,13.719333333333335,-16.46666666666666,-5.7888787878787875,-21.874666666666688
15.0,1.0,15,22,7,0.3181818181818182,737,370,367,0.5020352781546812,-42.58799999999999,-1.9358181818181812,-1.074,-0.057785617367706904,0.8164748039049713,12.486000000000002,-16.25,-5.633545454545454,-21.65800000000001
15.0,1.0,20,22,7,0.3181818181818182,735,368,367,0.5006802721088436,-50.45666666666666,-2.2934848484848485,-1.074,-0.0686485260770975,0.774948489354193,12.486000000000002,-16.25,-6.000787878787879,-21.65800000000001
15.0,1.3,10,22,9,0.4090909090909091,693,315,378,0.45454545454545453,-27.965333333333355,-1.271151515151516,-1.074,-0.040354016354016385,0.8840060802947034,10.072666666666667,-19.744,-5.515181818181819,-21.130000000000006
15.0,1.3,15,22,11,0.5,677,301,376,0.4446085672082718,-27.96466666666669,-1.2711212121212132,-0.3803333333333334,-0.04130674544559334,0.9530343832032807,8.864666666666666,-16.938666666666673,-5.424393939393939,-17.926000000000005
15.0,1.3,20,22,9,0.4090909090909091,674,303,371,0.4495548961424332,-33.126000000000026,-1.505727272727274,-1.074,-0.049148367952522296,0.9202510760979645,8.031333333333334,-19.03133333333334,-5.743333333333333,-20.668666666666677
15.0,1.5,10,22,9,0.4090909090909091,677,292,385,0.43131462333825704,-23.131333333333362,-1.0514242424242437,-0.8490000000000009,-0.034167405219103934,0.9750222209061807,10.864666666666665,-20.353333333333346,-5.552121212121212,-20.28000000000001
15.0,1.5,15,22,12,0.5454545454545454,655,277,378,0.42290076335877863,-20.420000000000023,-0.9281818181818192,0.644999999999999,-0.031175572519084004,1.0200779838422553,9.518666666666668,-19.390666666666675,-5.642515151515151,-19.352000000000004
15.0,1.5,20,22,12,0.5454545454545454,651,273,378,0.41935483870967744,-27.97400000000002,-1.2715454545454554,0.437333333333332,-0.04297081413210449,1.0170857854798467,9.152000000000001,-22.116666666666674,-6.076151515151517,-22.72800000000001
15.0,1.75,10,22,11,0.5,659,269,390,0.40819423368740515,-25.51600000000002,-1.1598181818181827,-0.3220000000000003,-0.03871927162367226,0.9627913286898082,9.676,-23.188666666666673,-5.942454545454547,-23.233333333333345
15.0,1.75,15,22,11,0.5,633,254,379,0.40126382306477093,-12.842000000000024,-0.5837272727272738,-0.2793333333333333,-0.020287519747235423,0.9970826872750358,14.325999999999999,-20.018666666666668,-5.825151515151515,-20.230000000000004
