stop_points,rr,horizon,windows_with_trades,positive_windows,positive_window_pct,total_trades,total_R,mean_window_R,median_window_R,mean_R,median_PF,worst_window_R,best_window_R,mean_max_DD_R,worst_max_DD_R
15.0,1.0,10,22,3,0.13636363636363635,3853,-373.6719999999999,-16.985090909090903,-14.746666666666663,-0.11965849480350448,0.7637128340605691,-55.64133333333332,12.017333333333344,-23.258818181818175,-60.12333333333314
15.0,1.0,15,22,3,0.13636363636363635,3802,-373.9479999999999,-16.99763636363636,-14.79033333333333,-0.12197825797259763,0.7608760036697915,-57.27666666666667,11.006000000000002,-22.947030303030303,-61.758666666666485
15.0,1.0,20,22,3,0.13636363636363635,3788,-384.6286666666666,-17.48312121212121,-15.38666666666666,-0.12516352188060934,0.7557164728362494,-57.093333333333334,11.006000000000002,-23.69887878787879,-61.575333333333155
15.0,1.3,10,22,4,0.18181818181818182,3574,-292.0760000000001,-13.276181818181822,-14.346333333333337,-0.10867537267533679,0.7644369680602491,-43.90133333333334,18.501999999999992,-21.753757575757593,-45.43133333333332
15.0,1.3,15,22,3,0.13636363636363635,3509,-293.68266666666676,-13.349212121212126,-14.895666666666669,-0.1116584530014,0.7916154793795709,-40.904,18.501999999999992,-21.781818181818203,-42.43400000000002
15.0,1.3,20,22,4,0.18181818181818182,3493,-305.0320000000001,-13.865090909090913,-13.803333333333335,-0.11595816826841765,0.7887169581925464,-44.798666666666676,18.501999999999992,-22.37357575757578,-47.621999999999986
15.0,1.5,10,22,5,0.22727272727272727,3413,-249.1286666666667,-11.324030303030305,-11.393,-0.0976908866319881,0.8423517128864563,-42.547999999999995,26.20266666666667,-21.56151515151517,-44.37466666666668
15.0,1.5,15,22,5,0.22727272727272727,3342,-261.14133333333336,-11.870060606060607,-10.584666666666664,-0.10762157794391243,0.8392521844567011,-43.38600000000001,24.802666666666667,-21.926272727272742,-47.50333333333338
15.0,1.5,20,22,5,0.22727272727272727,3322,-267.7613333333334,-12.170969696969701,-9.669,-0.11072809757453328,0.8408708092115049,-45.74933333333334,24.486,-22.548181818181835,-47.66266666666672
15.0,1.75,10,22,6,0.2727272727272727,3273,-178.7520000000001,-8.125090909090913,-4.600000000000005,-0.07404515641088716,0.8833006600338391,-44.79666666666667,37.28333333333332,-20.974696969696982,-45.16400000000001
15.0,1.75,15,22,7,0.3181818181818182,3192,-182.4913333333334,-8.29506060606061,-4.600000000000005,-0.07998513306504941,0.8518179652235829,-45.34933333333334,35.716666666666654,-21.599818181818204,-48.86400000000003
15.0,1.75,20,22,7,0.3181818181818182,3161,-194.0640000000001,-8.821090909090914,-4.600000000000005,-0.08596030993156321,0.8580150727292255,-49.422,38.35733333333332,-22.525151515151528,-49.34000000000003
20.0,1.0,10,22,5,0.22727272727272727,3350,-199.9124999999998,-9.086931818181808,-12.731749999999991,-0.07763789243423355,0.8284126177826436,-31.545999999999992,18.36200000000002,-16.157318181818184,-33.04649999999995
20.0,1.0,15,22,3,0.13636363636363635,3264,-201.98949999999977,-9.181340909090899,-10.80674999999999,-0.08038404164509648,0.8325903157091832,-30.479999999999993,15.893000000000006,-16.47927272727272,-31.83549999999995
20.0,1.0,20,22,4,0.18181818181818182,3239,-206.02699999999976,-9.364863636363625,-11.37749999999999,-0.08355100016758771,0.8289827967705752,-30.964999999999993,15.893000000000006,-17.07093181818181,-34.007499999999915
20.0,1.3,10,22,8,0.36363636363636365,3100,-116.86249999999991,-5.311931818181814,-6.343249999999994,-0.048861436989514534,0.9019613705607035,-29.958999999999993,32.989000000000004,-14.989318181818176,-35.45099999999998
20.0,1.3,15,22,7,0.3181818181818182,3004,-127.75949999999992,-5.807249999999996,-5.768999999999996,-0.055395973256771924,0.9053901114320908,-29.187499999999996,26.459500000000006,-15.608659090909088,-33.80399999999998
20.0,1.3,20,22,7,0.3181818181818182,2958,-126.21899999999991,-5.737227272727268,-5.978499999999997,-0.05700091502399516,0.8889199732934993,-29.148999999999987,25.93300000000001,-15.927499999999997,-35.42349999999998
20.0,1.5,10,22,7,0.3181818181818182,3006,-161.75799999999978,-7.352636363636353,-6.188499999999994,-0.059490632777333886,0.8699661268703593,-35.235499999999995,15.394000000000007,-16.644977272727267,-36.27349999999997
20.0,1.5,15,22,4,0.18181818181818182,2898,-175.03899999999976,-7.956318181818171,-6.979749999999987,-0.06834873989143492,0.9045161939030648,-34.7225,16.00650000000001,-17.27390909090909,-35.149999999999956
20.0,1.5,20,22,5,0.22727272727272727,2848,-177.6389999999998,-8.074499999999992,-7.394749999999988,-0.07260157744833835,0.9023582637681313,-34.715999999999994,17.939500000000017,-17.63540909090909,-37.29449999999996
20.0,1.75,10,22,5,0.22727272727272727,2892,-137.89349999999976,-6.267886363636353,-6.338999999999988,-0.06606135879811828,0.880875750952362,-35.22449999999999,30.07900000000003,-16.408136363636363,-37.00699999999998
20.0,1.75,15,22,4,0.18181818181818182,2769,-169.5044999999998,-7.704749999999991,-9.946999999999989,-0.08095784133100281,0.8729717045915717,-37.4365,28.01000000000002,-17.621181818181814,-37.07249999999996
20.0,1.75,20,22,5,0.22727272727272727,2706,-146.78299999999982,-6.671954545454537,-6.34324999999999,-0.07642656668775026,0.8918284771086731,-37.719,38.744500000000016,-17.74181818181818,-40.80999999999996
25.0,1.0,10,22,8,0.36363636363636365,3017,-64.29479999999992,-2.9224909090909055,-2.8151999999999973,-0.03998999501900278,0.9412841787251459,-23.825999999999993,38.371600000000015,-12.029490909090901,-27.49119999999997
25.0,1.0,15,22,7,0.3181818181818182,2908,-83.1451999999999,-3.779327272727268,-5.839399999999998,-0.048097332226012195,0.8828967808907493,-24.874399999999994,29.306800000000017,-12.617363636363626,-25.51359999999998
25.0,1.0,20,22,7,0.3181818181818182,2858,-82.40519999999991,-3.745690909090905,-4.8261999999999965,-0.043736378648225306,0.9080454864546708,-28.803599999999996,28.245600000000014,-12.71583636363635,-29.369599999999977
25.0,1.3,10,22,8,0.36363636363636365,2834,-89.44959999999992,-4.065890909090905,-5.954199999999996,-0.051942171546672355,0.8838634503285447,-25.229599999999998,23.27280000000001,-12.859272727272725,-27.544799999999974
25.0,1.3,15,22,7,0.3181818181818182,2699,-89.20559999999989,-4.054799999999995,-5.953399999999993,-0.05337913312303058,0.8833546616808752,-25.620399999999993,21.451200000000014,-13.39232727272727,-24.575999999999983
25.0,1.3,20,22,6,0.2727272727272727,2637,-87.04279999999987,-3.956490909090903,-5.669799999999995,-0.04738390915533297,0.9063946226401356,-29.6652,30.003200000000007,-13.54336363636363,-28.681999999999977
25.0,1.5,10,22,5,0.22727272727272727,2741,-67.74039999999994,-3.079109090909088,-4.074799999999994,-0.04756258502447865,0.8809598560986506,-26.310799999999997,28.347600000000007,-13.250490909090901,-26.613199999999985
25.0,1.5,15,22,4,0.18181818181818182,2583,-82.10519999999993,-3.732054545454542,-6.3337999999999965,-0.051701086175477355,0.8912423517343135,-28.225999999999996,31.036400000000004,-13.907872727272718,-27.181599999999996
25.0,1.5,20,22,6,0.2727272727272727,2513,-91.29719999999992,-4.149872727272723,-5.295599999999997,-0.057505446516864685,0.8934538792463065,-33.2376,38.28960000000001,-14.4518909090909,-32.30359999999999
25.0,1.75,10,22,5,0.22727272727272727,2668,-91.88919999999993,-4.176781818181815,-5.885199999999998,-0.0484583916524395,0.8729234731181688,-26.330799999999996,27.444000000000006,-13.513290909090903,-28.424399999999956
25.0,1.75,15,22,5,0.22727272727272727,2495,-83.75799999999992,-3.8071818181818147,-5.921999999999998,-0.045161733501886916,0.8835393188994516,-30.83599999999999,32.687200000000004,-13.785309090909083,-29.791599999999992
