candidate,vol_bucket,windows_with_trades,positive_windows,positive_window_pct,total_trades,mean_window_R,median_window_R,mean_total_R,median_total_R,median_PF,best_window_R,worst_window_R,mean_max_DD_R,worst_max_DD_R
A,0-20,3,0,0.0,60,-0.31806944444444446,-0.3796666666666667,-4.555833333333334,-4.237000000000001,0.31632653061224486,-3.7355,-5.695,-6.316,-6.970000000000001
A,20-40,2,0,0.0,46,-0.11528618421052633,-0.11528618421052633,-2.376500000000001,-2.376500000000001,0.6804229803562596,-1.0689999999999997,-3.684000000000002,-4.4755,-6.866500000000001
A,40-60,7,4,0.5714285714285714,187,-0.012922895208675109,0.028874999999999953,-1.5880000000000016,0.5740000000000003,1.0667956759642334,4.0489999999999995,-14.721500000000004,-4.804000000000002,-14.361000000000006
A,60-80,5,1,0.2,108,-0.30148557692307704,-0.14043589743589754,-2.463800000000002,-1.8680000000000019,0.764135911459455,1.5804999999999978,-5.499000000000002,-5.480200000000002,-8.089000000000006
A,80-100,3,0,0.0,42,-0.34979824561403516,-0.4305000000000001,-5.777000000000001,-7.749000000000002,0.4352658237073205,-0.7775000000000005,-8.804500000000003,-7.906833333333334,-11.332500000000001
B,0-20,3,0,0.0,48,-0.4441628380579994,-0.5534166666666667,-5.279666666666667,-6.120500000000001,0.18062924120913015,-3.3205,-6.3980000000000015,-4.699166666666668,-5.777500000000002
B,20-40,2,1,0.5,33,0.01186111111111111,0.01186111111111111,-0.49700000000000044,-0.49700000000000044,1.1263733133361573,0.46700000000000025,-1.4610000000000012,-2.9765000000000006,-5.472500000000001
B,40-60,7,5,0.7142857142857143,154,0.023244477377879554,0.05997619047619042,0.32364285714285607,1.827999999999999,1.1553101104502972,4.396499999999997,-9.433000000000002,-3.1651428571428575,-8.566500000000001
B,60-80,5,2,0.4,88,-0.25608452630063894,-0.10587878787878795,-1.0568000000000015,-1.0555,0.8257747637687304,4.481499999999999,-5.577000000000002,-4.0708,-6.144000000000001
B,80-100,3,0,0.0,34,-0.45526657329598513,-0.5143235294117647,-5.829000000000001,-7.8770000000000024,0.3627883248915934,-0.8665000000000003,-8.743500000000001,-6.784666666666669,-11.232500000000002
