volatility,selected,A_trades,A_WR,A_mean_R,A_PF,B_trades,B_WR,B_mean_R,B_PF,window
0-20,OFF,2,0.5,0.03825000000000001,2.1250000000000004,2,0.0,-0.11174999999999999,0.0,1
20-40,B,55,0.4,0.02790909090909096,1.1252396687471953,38,0.4473684210526316,0.07640789473684215,1.443926305328339,1
40-60,B,233,0.45064377682403434,-0.021487124463519264,0.9311859141765405,172,0.47093023255813954,0.014703488372093051,1.049992092986479,1
60-80,OFF,485,0.4309278350515464,-0.053747422680412306,0.8783912705762158,419,0.431980906921241,-0.05347136038186154,0.8793325846993212,1
80-100,B,478,0.4707112970711297,0.016649581589958242,1.0332256219497429,410,0.4682926829268293,0.021725609756097584,1.0426147236680956,1
0-20,OFF,0,,,,0,,,,2
20-40,OFF,0,,,,0,,,,2
40-60,OFF,6,0.5,0.08200000000000005,1.2123893805309736,6,0.5,0.09866666666666664,1.2555579538096266,2
60-80,OFF,113,0.46017699115044247,-0.04698230088495567,0.904209443732746,96,0.4479166666666667,-0.059666666666666625,0.881937072954562,2
80-100,OFF,548,0.42883211678832117,-0.09496167883211669,0.8381980060412625,455,0.3956043956043956,-0.15365934065934062,0.7532665754995811,2
0-20,OFF,215,0.3209302325581395,-0.16445348837209298,0.42276296671183455,168,0.3333333333333333,-0.12090178571428568,0.5290469179312984,3
20-40,OFF,391,0.45524296675191817,-0.05406138107416874,0.8356892725414218,343,0.4402332361516035,-0.05936297376093291,0.8210269099091578,3
40-60,OFF,430,0.4511627906976744,-0.051139534883720854,0.8759190398537436,379,0.46701846965699206,-0.026905013192612105,0.9333849425276095,3
60-80,OFF,232,0.39655172413793105,-0.15280603448275853,0.7078495199637399,203,0.4187192118226601,-0.09484729064039404,0.8124972610810578,3
80-100,OFF,0,,,,0,,,,3
0-20,OFF,0,,,,0,,,,4
20-40,OFF,0,,,,0,,,,4
40-60,OFF,0,,,,0,,,,4
60-80,OFF,41,0.4146341463414634,-0.12287804878048768,0.778007887373593,37,0.35135135135135137,-0.2156351351351351,0.6524589449841008,4
80-100,OFF,795,0.42641509433962266,-0.09867610062893076,0.8329466530237192,666,0.42342342342342343,-0.09662237237237234,0.8391838550341808,4
0-20,OFF,0,,,,0,,,,5
20-40,OFF,2,1.0,1.1945000000000001,inf,1,1.0,1.2445,inf,5
40-60,A,38,0.5789473684210527,0.19417105263157902,1.5450214211848134,26,0.5384615384615384,0.15459615384615388,1.4028160545172121,5
60-80,OFF,266,0.4398496240601504,-0.044785714285714234,0.9138343808993397,225,0.4266666666666667,-0.06938888888888887,0.8725869040963975,5
80-100,OFF,970,0.43711340206185567,-0.06926288659793807,0.8805234667311603,813,0.43911439114391143,-0.04739729397293972,0.9184112488897311,5
0-20,OFF,113,0.4336283185840708,-0.07950442477876102,0.7338231808485425,91,0.3956043956043956,-0.05893406593406591,0.7964898965942511,6
20-40,OFF,330,0.45151515151515154,-0.058492424242424186,0.847269806856935,261,0.44061302681992337,-0.05463793103448271,0.8541915892150548,6
40-60,OFF,531,0.448210922787194,-0.043141242937853035,0.9097795885574302,472,0.461864406779661,-0.01598728813559318,0.9655527379547566,6
60-80,OFF,456,0.45394736842105265,-0.040505482456140274,0.923563333740267,384,0.4583333333333333,-0.02457552083333331,0.9537246575443226,6
80-100,OFF,0,,,,0,,,,6
0-20,OFF,0,,,,0,,,,7
