window,architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,months,profitable_months,losing_months,mean_monthly_R,median_monthly_R,worst_month_R,best_month_R
1,A_SELECTIVE,63,0.36507936507936506,-0.20649206349206348,-13.008999999999999,0.6089870754433425,-13.222000000000001,5,31,13,18,-0.41964516129032237,-0.1555,-4.2219999999999995,2.3890000000000002,2.032258064516129,4,1,3,-3.252249999999999,-1.6044999999999985,-9.938999999999998,0.13900000000000023
1,B_SELECTIVE,49,0.40816326530612246,-0.11391836734693872,-5.581999999999997,0.7731770251325709,-9.331999999999999,6,25,11,14,-0.2232799999999999,-0.08599999999999997,-3.9719999999999995,2.489,1.96,4,2,2,-1.3954999999999993,0.5442500000000003,-10.229499999999998,3.559
1,AB_SELECTIVE,49,0.40816326530612246,-0.11391836734693872,-5.581999999999997,0.7731770251325709,-9.331999999999999,6,25,11,14,-0.2232799999999999,-0.08599999999999997,-3.9719999999999995,2.489,1.96,4,2,2,-1.3954999999999993,0.5442500000000003,-10.229499999999998,3.559
2,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
2,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
2,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
3,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
3,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
3,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
4,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
4,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
4,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
5,A_SELECTIVE,7,0.42857142857142855,0.08200000000000003,0.5740000000000002,1.4950409659335924,-0.7805,2,6,3,3,0.09566666666666669,-0.014499999999999968,-0.7805,1.1945000000000001,1.1666666666666667,3,2,1,0.19133333333333338,0.28500000000000014,-0.030499999999999992,0.3195
5,B_SELECTIVE,6,0.3333333333333333,0.050749999999999997,0.3045,1.2626131953428201,-0.7805,2,5,2,3,0.060899999999999996,-0.030499999999999992,-0.7805,1.2445,1.2,2,1,1,0.15225,0.15225,-0.030499999999999992,0.33499999999999996
5,AB_SELECTIVE,7,0.42857142857142855,0.08200000000000003,0.5740000000000002,1.4950409659335924,-0.7805,2,6,3,3,0.09566666666666669,-0.014499999999999968,-0.7805,1.1945000000000001,1.1666666666666667,3,2,1,0.19133333333333338,0.28500000000000014,-0.030499999999999992,0.3195
6,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
6,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
6,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
7,A_SELECTIVE,4,0.25,-0.352375,-1.4095,0.12125935162094764,-1.536,2,4,1,3,-0.352375,-0.27425,-1.0554999999999999,0.1945,1.0,2,0,2,-0.70475,-0.70475,-1.3415,-0.06799999999999999
7,B_SELECTIVE,3,0.0,-0.5346666666666666,-1.6039999999999999,0.0,-1.5359999999999998,3,3,0,3,-0.5346666666666666,-0.4805,-1.0554999999999999,-0.06799999999999999,1.0,2,0,2,-0.8019999999999999,-0.8019999999999999,-1.5359999999999998,-0.06799999999999999
7,AB_SELECTIVE,4,0.25,-0.352375,-1.4095,0.12125935162094764,-1.536,2,4,1,3,-0.352375,-0.27425,-1.0554999999999999,0.1945,1.0,2,0,2,-0.70475,-0.70475,-1.3415,-0.06799999999999999
8,A_SELECTIVE,7,0.5714285714285714,0.5784285714285716,4.049000000000001,6.554183813443074,-0.518,2,7,4,3,0.5784285714285716,1.1945000000000001,-0.518,1.1945000000000001,1.0,3,2,1,1.3496666666666668,1.8655000000000002,-0.20549999999999996,2.3890000000000002
