window,trades,original_total_R,strategy_total_R,delta_R
1,43,11.010800000000001,10.016,-0.9948000000000015
2,1,-1.0444,0.2,1.2444
3,38,-8.6272,-5.2056,3.4216000000000006
4,1,0.0456,0.38,0.33440000000000003
5,43,1.6108,1.3416000000000003,-0.26919999999999966
6,69,12.706399999999999,15.2512,2.544800000000002
7,3,-0.42319999999999997,-0.42319999999999997,0.0
8,6,3.1136,3.5279999999999996,0.41439999999999966
9,40,-10.216,-13.3024,-3.086400000000001
10,41,12.529600000000002,12.172400000000001,-0.35720000000000063
11,35,-12.893999999999998,-9.038,3.855999999999998
12,43,2.680800000000002,0.4143999999999983,-2.2664000000000035
13,1,-1.0444,-0.19,0.8544
14,44,14.166400000000003,14.2944,0.12799999999999656
15,5,0.278,2.2512,1.9731999999999998
16,8,2.3648,5.4636000000000005,3.0988000000000007
17,5,3.2580000000000005,3.2580000000000005,0.0
18,20,-4.708,0.7115999999999999,5.4196
19,2,0.6612,-0.89,-1.5512000000000001
20,71,2.507600000000003,7.012800000000003,4.5052
21,1,-1.0444,0.94,1.9844
22,17,-3.6748,1.0792,4.754
