rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,1,0.25,,1,43,0.4186046511627907,0.1230418604651163,5.290800000000001,1.4657394366197185,-3.297599999999999
MAE,1,0.25,,2,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,1,0.25,,3,38,0.2894736842105263,-0.11755789473684208,-4.467199999999999,0.6856032881031475,-4.1008
MAE,1,0.25,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,1,0.25,,5,43,0.3953488372093023,0.1007162790697675,4.330800000000003,1.408396514654295,-2.708400000000001
MAE,1,0.25,,6,69,0.4057971014492754,0.07284637681159423,5.0264000000000015,1.2557912307128607,-5.8911999999999995
MAE,1,0.25,,7,3,0.3333333333333333,-0.12773333333333334,-0.3832,0.41833636915604133,-0.6588
MAE,1,0.25,,8,6,0.6666666666666666,0.6039333333333333,3.6235999999999997,7.602769679300292,-0.28439999999999976
MAE,1,0.25,,9,40,0.275,-0.13565,-5.425999999999999,0.5838191078112537,-7.6996
MAE,1,0.25,,10,41,0.43902439024390244,0.10023414634146342,4.1096,1.4048388367877689,-4.2204
MAE,1,0.25,,11,35,0.2857142857142857,-0.24468571428571423,-8.563999999999998,0.37443389335281235,-9.380799999999999
MAE,1,0.25,,12,43,0.27906976744186046,-0.027655813953488362,-1.1891999999999996,0.9056669628125398,-3.2512
MAE,1,0.25,,13,1,0.0,-0.0644,-0.0644,0.0,0.0
MAE,1,0.25,,14,44,0.5,0.20082727272727272,8.8364,1.790601961205354,-4.082799999999997
MAE,1,0.25,,15,5,0.4,0.3396,1.698,1.9911277142190054,-1.0444
MAE,1,0.25,,16,8,0.625,0.4130999999999999,3.3047999999999993,2.6833740831295843,-1.9632
MAE,1,0.25,,17,5,0.4,-0.05039999999999996,-0.2519999999999998,0.8942598187311179,-2.3832
MAE,1,0.25,,18,20,0.25,-0.12139999999999998,-2.4279999999999995,0.6504463000287936,-5.286
MAE,1,0.25,,19,2,0.0,-0.24939999999999998,-0.49879999999999997,0.0,-0.3944
MAE,1,0.25,,20,71,0.323943661971831,0.059543661971830995,4.227600000000001,1.1595248517048284,-5.914
MAE,1,0.25,,21,1,0.0,-0.25439999999999996,-0.25439999999999996,0.0,0.0
MAE,1,0.25,,22,17,0.23529411764705882,0.04736470588235295,0.8052000000000001,1.1338163930067142,-3.1428
MAE,1,0.5,,1,43,0.5813953488372093,0.2460651162790698,10.580800000000002,1.8766778245451232,-2.777599999999998
MAE,1,0.5,,2,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,1,0.5,,3,38,0.34210526315789475,-0.16624210526315789,-6.3172,0.6572327726532827,-6.1080000000000005
MAE,1,0.5,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,1,0.5,,5,43,0.4186046511627907,0.07792558139534887,3.3508000000000018,1.2472915129151292,-5.2516
MAE,1,0.5,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,1,0.5,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,1,0.5,,8,6,0.6666666666666666,0.6039333333333333,3.6235999999999997,7.602769679300292,-0.28439999999999976
