window,rule,trades,win_rate,mean_R,total_R
1,BASELINE,43,0.5813953488372093,0.2560651162790698,11.010800000000001
1,EARLY_FILTER,35,0.6,0.35845714285714286,12.546000000000001
2,BASELINE,1,0.0,-1.0444,-1.0444
2,EARLY_FILTER,0,,,0.0
3,BASELINE,38,0.34210526315789475,-0.22703157894736842,-8.6272
3,EARLY_FILTER,24,0.5416666666666666,0.18810000000000002,4.5144
4,BASELINE,1,1.0,0.0456,0.0456
4,EARLY_FILTER,0,,,0.0
5,BASELINE,43,0.4186046511627907,0.03746046511627907,1.6108
5,EARLY_FILTER,36,0.5,0.24782222222222228,8.921600000000002
6,BASELINE,69,0.5652173913043478,0.18415072463768115,12.706399999999999
6,EARLY_FILTER,52,0.6923076923076923,0.4423307692307693,23.001200000000004
7,BASELINE,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997
7,EARLY_FILTER,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997
8,BASELINE,6,0.6666666666666666,0.5189333333333334,3.1136
8,EARLY_FILTER,5,0.8,0.7815999999999999,3.9079999999999995
9,BASELINE,40,0.3,-0.25539999999999996,-10.216
9,EARLY_FILTER,21,0.47619047619047616,0.014171428571428576,0.2976000000000001
10,BASELINE,41,0.5365853658536586,0.30560000000000004,12.529600000000002
10,EARLY_FILTER,29,0.6896551724137931,0.6893931034482759,19.9924
11,BASELINE,35,0.2857142857142857,-0.36839999999999995,-12.893999999999998
11,EARLY_FILTER,20,0.45,-0.03189999999999997,-0.6379999999999995
12,BASELINE,43,0.4883720930232558,0.06234418604651167,2.680800000000002
12,EARLY_FILTER,24,0.6666666666666666,0.4856,11.654399999999999
13,BASELINE,1,0.0,-1.0444,-1.0444
13,EARLY_FILTER,0,,,0.0
14,BASELINE,44,0.5681818181818182,0.32196363636363645,14.166400000000003
14,EARLY_FILTER,24,0.875,1.0960166666666666,26.304399999999998
15,BASELINE,5,0.4,0.055600000000000004,0.278
15,EARLY_FILTER,2,1.0,1.7056,3.4112
16,BASELINE,8,0.625,0.2956,2.3648
16,EARLY_FILTER,6,0.8333333333333334,0.7039333333333334,4.2236
17,BASELINE,5,0.6,0.6516000000000001,3.2580000000000005
17,EARLY_FILTER,5,0.6,0.6516000000000001,3.2580000000000005
18,BASELINE,20,0.35,-0.2354,-4.708
18,EARLY_FILTER,11,0.6363636363636364,0.38196363636363645,4.201600000000001
19,BASELINE,2,0.5,0.3306,0.6612
19,EARLY_FILTER,0,,,0.0
20,BASELINE,71,0.4225352112676056,0.035318309859154975,2.507600000000003
20,EARLY_FILTER,38,0.6842105263157895,0.6898105263157895,26.2128
21,BASELINE,1,0.0,-1.0444,-1.0444
21,EARLY_FILTER,0,,,0.0
22,BASELINE,17,0.29411764705882354,-0.21616470588235293,-3.6748
22,EARLY_FILTER,7,0.7142857142857143,0.9670285714285715,6.7692000000000005
