decision_bar,early_adverse,exit_reason,trades,win_rate,mean_R,total_R,mean_MFE_R,mean_MAE_R
1,False,stop,178,0.0,-1.0443999999999998,-185.90319999999994,0.5080898876404494,1.8224719101123596
1,False,target,113,1.0,1.7056000000000002,192.73280000000003,2.6887610619469027,0.39663716814159283
1,False,timeout,227,0.5682819383259912,0.12982907488986786,29.471200000000003,0.8640088105726872,0.5688546255506608
1,True,stop,15,0.0,-1.0443999999999998,-15.665999999999997,1.23,2.0860000000000003
1,True,target,2,1.0,1.7056,3.4112,3.5549999999999997,0.975
1,True,timeout,2,0.0,-0.3944,-0.7888,0.775,0.8200000000000001
2,False,stop,150,0.0,-1.0443999999999996,-156.65999999999994,0.5142666666666666,1.7806666666666668
2,False,target,113,1.0,1.7056000000000002,192.73280000000003,2.6887610619469027,0.39663716814159283
2,False,timeout,222,0.5675675675675675,0.11785225225225227,26.163200000000003,0.8598198198198198,0.5618018018018018
2,True,stop,43,0.0,-1.0444000000000002,-44.909200000000006,0.7383720930232557,2.060232558139535
2,True,target,2,1.0,1.7056,3.4112,3.5549999999999997,0.975
2,True,timeout,7,0.42857142857142855,0.35988571428571436,2.5192000000000005,0.9714285714285714,0.8642857142857142
3,False,stop,124,0.0,-1.0443999999999998,-129.50559999999996,0.5426612903225807,1.7068548387096771
3,False,target,111,1.0,1.7056000000000004,189.32160000000005,2.6999999999999997,0.38918918918918916
3,False,timeout,214,0.5700934579439252,0.11938504672897196,25.5484,0.8610280373831776,0.5498598130841121
3,True,stop,69,0.0,-1.0443999999999996,-72.06359999999997,0.6028985507246377,2.087536231884058
3,True,target,4,1.0,1.7056,6.8224,2.8099999999999996,0.8925
3,True,timeout,15,0.4666666666666667,0.2089333333333333,3.1339999999999995,0.8946666666666665,0.8733333333333335
5,False,stop,86,0.0,-1.0443999999999996,-89.81839999999995,0.5747674418604652,1.622441860465116
5,False,target,106,1.0,1.7056000000000002,180.79360000000003,2.7215094339622636,0.36698113207547167
5,False,timeout,204,0.5686274509803921,0.1275607843137255,26.022400000000005,0.8650980392156864,0.5330882352941176
5,True,stop,107,0.0,-1.0443999999999996,-111.75079999999996,0.5557009345794391,2.0201869158878503
5,True,target,9,1.0,1.7056,15.3504,2.4955555555555553,0.8744444444444445
5,True,timeout,25,0.52,0.10640000000000002,2.6600000000000006,0.8480000000000001,0.8808
8,False,stop,47,0.0,-1.0444000000000004,-49.08680000000002,0.585531914893617,1.6012765957446804
8,False,target,104,1.0,1.7056000000000002,177.38240000000002,2.733173076923077,0.3367307692307693
8,False,timeout,191,0.5916230366492147,0.15633298429319373,29.8596,0.8862303664921465,0.5103141361256545
8,True,stop,146,0.0,-1.0443999999999998,-152.48239999999996,0.5573287671232876,1.920753424657534
8,True,target,11,1.0,1.7056000000000002,18.7616,2.4263636363636363,1.0681818181818181
8,True,timeout,38,0.42105263157894735,-0.03097894736842103,-1.1771999999999991,0.7476315789473684,0.8763157894736845
10,False,stop,29,0.0,-1.0444,-30.287599999999998,0.5048275862068966,1.4058620689655177
10,False,target,103,1.0,1.7056000000000004,175.67680000000004,2.73504854368932,0.33213592233009703
10,False,timeout,183,0.6010928961748634,0.17111912568306015,31.314800000000005,0.8995081967213115,0.4922950819672131
10,True,stop,164,0.0,-1.0443999999999996,-171.28159999999994,0.5746951219512195,1.920243902439024
10,True,target,12,1.0,1.7056000000000002,20.467200000000002,2.4358333333333335,1.0466666666666666
10,True,timeout,46,0.41304347826086957,-0.05722608695652173,-2.6323999999999996,0.7189130434782609,0.8843478260869565
