entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,trade_index,entry_price,path_length,max_MAE_R,max_MFE_R,final_close_R,time_to_max_MFE,time_to_max_MAE,outcome,exit_reason_path,net_R_path,window_path,mae_1R,mfe_1R,close_1R,mae_2R,mfe_2R,close_2R,mae_3R,mfe_3R,close_3R,mae_4R,mfe_4R,close_4R,mae_5R,mfe_5R,close_5R,mae_6R,mfe_6R,close_6R,mae_7R,mfe_7R,close_7R,mae_8R,mfe_8R,close_8R,mae_9R,mfe_9R,close_9R,mae_10R,mfe_10R,close_10R,mae_11R,mfe_11R,close_11R,mae_12R,mfe_12R,close_12R,mae_13R,mfe_13R,close_13R,mae_14R,mfe_14R,close_14R,mae_15R,mfe_15R,close_15R,mae_16R,mfe_16R,close_16R,mae_17R,mfe_17R,close_17R,mae_18R,mfe_18R,close_18R,mae_19R,mfe_19R,close_19R,mae_20R,mfe_20R,close_20R
2021-05-06 13:14:00-04:00,2021-05-06 13:34:00-04:00,2021-05-05,0.9977525830778488,0.4739338852701669,25.0,1.75,20,-7.75,-8.86,-0.3544,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0,13532.5,21,0.41,0.65,-0.31,10,20,LOSS,timeout,-0.3544,1,0.34,0.01,-0.24,0.34,0.01,-0.09,0.34,0.16,0.02,0.34,0.4,0.14,0.34,0.48,0.29,0.34,0.48,0.33,0.34,0.48,0.14,0.34,0.48,0.1,0.34,0.52,0.42,0.34,0.65,0.38,0.34,0.65,0.34,0.34,0.65,0.0,0.34,0.65,-0.06,0.34,0.65,0.09,0.34,0.65,0.12,0.34,0.65,-0.01,0.34,0.65,0.0,0.34,0.65,-0.08,0.34,0.65,-0.22,0.41,0.65,-0.31
2021-05-06 13:41:00-04:00,2021-05-06 14:01:00-04:00,2021-05-05,0.9094552229569572,0.5438644933210814,25.0,1.75,20,17.0,15.89,0.6356,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,1,13513.0,21,0.52,0.98,0.68,17,3,WIN,timeout,0.6356,1,0.24,0.09,0.01,0.41,0.16,-0.41,0.52,0.16,-0.14,0.52,0.27,0.1,0.52,0.31,0.15,0.52,0.31,0.07,0.52,0.31,0.05,0.52,0.31,-0.14,0.52,0.31,0.0,0.52,0.31,0.1,0.52,0.47,0.46,0.52,0.74,0.65,0.52,0.74,0.72,0.52,0.74,0.67,0.52,0.74,0.58,0.52,0.74,0.73,0.52,0.98,0.8,0.52,0.98,0.82,0.52,0.98,0.48,0.52,0.98,0.68
2021-05-07 12:14:00-04:00,2021-05-07 12:34:00-04:00,2021-05-06,1.0,0.4060447494330501,25.0,1.75,20,14.75,13.64,0.5456,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,2,13759.5,21,0.5,0.85,0.59,16,2,WIN,timeout,0.5456,1,0.31,0.07,-0.31,0.5,0.07,-0.43,0.5,0.07,-0.34,0.5,0.07,-0.28,0.5,0.07,-0.34,0.5,0.07,-0.15,0.5,0.07,-0.23,0.5,0.07,-0.25,0.5,0.07,-0.19,0.5,0.07,0.03,0.5,0.27,0.24,0.5,0.27,0.14,0.5,0.49,0.3,0.5,0.74,0.68,0.5,0.76,0.63,0.5,0.85,0.71,0.5,0.85,0.52,0.5,0.85,0.73,0.5,0.85,0.72,0.5,0.85,0.59
2021-05-07 12:35:00-04:00,2021-05-07 12:55:00-04:00,2021-05-06,1.0,0.426812542153459,25.0,1.75,20,-3.25,-4.359999999999999,-0.1743999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,3,13734.25,21,0.25,0.63,-0.13,9,20,LOSS,timeout,-0.1743999999999999,1,0.07,0.22,-0.05,0.12,0.22,0.02,0.12,0.22,0.17,0.12,0.43,0.33,0.12,0.43,0.38,0.12,0.52,0.27,0.12,0.52,0.33,0.12,0.58,0.47,0.12,0.63,0.26,0.12,0.63,0.19,0.12,0.63,0.03,0.12,0.63,-0.01,0.16,0.63,-0.12,0.16,0.63,-0.02,0.16,0.63,-0.08,0.22,0.63,-0.16,0.22,0.63,0.02,0.22,0.63,0.05,0.22,0.63,0.13,0.25,0.63,-0.13
2021-05-07 14:01:00-04:00,2021-05-07 14:08:00-04:00,2021-05-06,0.7770225312476939,0.5199507511802969,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,4,13670.75,21,1.35,0.06,-1.04,1,11,LOSS,stop,-1.0444,1,0.42,0.06,-0.32,0.96,0.06,-0.76,0.96,0.06,-0.54,0.96,0.06,-0.72,0.96,0.06,-0.79,0.96,0.06,-0.79,1.09,0.06,-1.04,1.24,0.06,-1.19,1.3,0.06,-1.01,1.3,0.06,-1.24,1.35,0.06,-1.19,1.35,0.06,-1.05,1.35,0.06,-0.84,1.35,0.06,-0.92,1.35,0.06,-0.89,1.35,0.06,-0.86,1.35,0.06,-1.18,1.35,0.06,-1.1,1.35,0.06,-1.24,1.35,0.06,-1.04
2021-05-10 13:55:00-04:00,2021-05-10 14:15:00-04:00,2021-05-09,1.0,0.4279803910030373,25.0,1.75,20,43.75,42.64,1.7056,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,5,13463.5,21,0.84,2.2,2.03,20,3,WIN,target,1.7056,1,0.23,0.04,0.03,0.63,0.07,-0.43,0.84,0.07,-0.69,0.84,0.07,-0.36,0.84,0.1,0.03,0.84,0.42,0.39,0.84,0.43,0.36,0.84,0.94,0.31,0.84,0.94,0.44,0.84,0.94,0.17,0.84,0.94,0.21,0.84,0.94,0.73,0.84,0.94,0.43,0.84,0.94,0.65,0.84,1.14,0.75,0.84,1.14,0.88,0.84,1.22,1.2,0.84,1.22,1.09,0.84,1.63,1.27,0.84,2.2,2.03
2021-05-17 13:31:00-04:00,2021-05-17 13:51:00-04:00,2021-05-16,0.8767274041889735,0.4062756032754086,25.0,1.75,20,5.25,4.140000000000001,0.1656,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,6,13207.25,21,0.88,0.99,0.21,10,5,WIN,timeout,0.1656,1,0.15,0.1,0.08,0.15,0.37,0.23,0.26,0.37,-0.25,0.54,0.37,-0.47,0.88,0.37,-0.75,0.88,0.37,-0.41,0.88,0.37,-0.26,0.88,0.37,-0.16,0.88,0.6,0.59,0.88,0.99,0.66,0.88,0.99,0.66,0.88,0.99,0.68,0.88,0.99,0.48,0.88,0.99,0.16,0.88,0.99,-0.14,0.88,0.99,0.22,0.88,0.99,0.1,0.88,0.99,-0.08,0.88,0.99,0.04,0.88,0.99,0.21
2021-05-18 11:45:00-04:00,2021-05-18 12:05:00-04:00,2021-05-17,1.0,0.4263236751931703,25.0,1.75,20,-7.0,-8.11,-0.3243999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,7,13330.75,21,0.67,0.18,-0.28,15,4,LOSS,timeout,-0.3243999999999999,1,0.23,0.12,-0.18,0.36,0.12,-0.36,0.6,0.12,-0.54,0.67,0.12,-0.62,0.67,0.12,-0.49,0.67,0.12,-0.47,0.67,0.12,-0.24,0.67,0.12,-0.15,0.67,0.12,-0.28,0.67,0.12,-0.41,0.67,0.12,-0.42,0.67,0.12,-0.21,0.67,0.12,0.03,0.67,0.12,0.08,0.67,0.18,-0.13,0.67,0.18,-0.28,0.67,0.18,-0.31,0.67,0.18,-0.37,0.67,0.18,-0.33,0.67,0.18,-0.28
2021-05-18 14:23:00-04:00,2021-05-18 14:41:00-04:00,2021-05-17,0.8013228570463733,0.4227024384502917,25.0,1.75,20,43.75,42.64,1.7056,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,8,13305.0,21,0.37,2.37,2.12,19,5,WIN,target,1.7056,1,0.22,0.01,-0.12,0.22,0.03,-0.09,0.34,0.03,-0.16,0.34,0.03,-0.32,0.37,0.03,-0.21,0.37,0.12,-0.01,0.37,0.12,-0.16,0.37,0.12,0.0,0.37,0.12,0.03,0.37,0.48,0.46,0.37,1.27,1.25,0.37,1.46,1.02,0.37,1.49,1.36,0.37,1.69,1.4,0.37,1.69,1.35,0.37,1.69,1.59,0.37,1.69,1.46,0.37,2.19,2.1,0.37,2.37,2.18,0.37,2.37,2.12
2021-05-18 15:50:00-04:00,2021-05-18 15:59:00-04:00,2021-05-17,0.760319988741285,0.4835030033632236,25.0,1.75,20,43.75,42.64,1.7056,target,9,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,9,13251.25,21,0.29,1.98,1.19,17,1,WIN,target,1.7056,1,0.29,0.14,-0.15,0.29,0.25,0.06,0.29,0.93,0.55,0.29,1.35,1.07,0.29,1.35,0.99,0.29,1.35,0.96,0.29,1.35,1.1,0.29,1.35,1.05,0.29,1.9,1.55,0.29,1.9,1.3,0.29,1.9,1.24,0.29,1.9,1.5,0.29,1.9,1.56,0.29,1.9,1.33,0.29,1.9,1.67,0.29,1.9,1.71,0.29,1.98,1.38,0.29,1.98,1.24,0.29,1.98,1.17,0.29,1.98,1.19
