decision_bar,early_state,outcome,trades,pct_of_all,mean_R,median_R,mean_MFE_R,mean_MAE_R
1,EARLY_ADVERSE,WIN,2,0.0037243947858473,1.7056,1.7056,3.5549999999999997,0.975
1,EARLY_ADVERSE,LOSS,17,0.03165735567970205,-0.9679294117647058,-1.0444,1.1764705882352942,1.9370588235294117
1,EARLY_OK,WIN,242,0.4506517690875233,1.0843603305785126,1.3006000000000002,1.8301652892561986,0.43859504132231397
1,EARLY_OK,LOSS,276,0.5139664804469274,-0.8192550724637679,-1.0444,0.5344202898550725,1.4210507246376811
2,EARLY_ADVERSE,WIN,5,0.00931098696461825,1.5416,1.5556,2.4219999999999997,0.914
2,EARLY_ADVERSE,LOSS,47,0.08752327746741155,-0.9933361702127663,-1.0444,0.7138297872340427,1.9578723404255316
2,EARLY_OK,WIN,239,0.4450651769087523,1.079993305439331,1.2856,1.8322175732217574,0.43313807531380755
2,EARLY_OK,LOSS,246,0.4581005586592179,-0.7962699186991868,-1.0444,0.5445121951219511,1.3541463414634147
3,EARLY_ADVERSE,WIN,11,0.020484171322160148,1.226509090909091,1.4156,1.8727272727272728,0.8981818181818181
3,EARLY_ADVERSE,LOSS,77,0.14338919925512103,-0.981802597402597,-1.0444,0.5929870129870131,1.9588311688311686
3,EARLY_OK,WIN,233,0.4338919925512104,1.082981974248927,1.2956,1.8429613733905579,0.42150214592274676
3,EARLY_OK,LOSS,216,0.4022346368715084,-0.773011111111111,-1.0444,0.564074074074074,1.2699537037037036
5,EARLY_ADVERSE,WIN,22,0.040968342644320296,1.0860545454545456,1.3706,1.686363636363636,0.8790909090909093
5,EARLY_ADVERSE,LOSS,119,0.22160148975791433,-0.9885176470588231,-1.0444,0.5547899159663866,1.9051260504201677
5,EARLY_OK,WIN,222,0.4134078212290503,1.0897891891891895,1.3006000000000002,1.859954954954955,0.3997747747747748
5,EARLY_OK,LOSS,174,0.3240223463687151,-0.7180206896551723,-0.9394,0.5832183908045976,1.1404022988505746
8,EARLY_ADVERSE,WIN,27,0.05027932960893855,1.0763407407407408,1.3256,1.661111111111111,0.9514814814814815
8,EARLY_ADVERSE,LOSS,168,0.3128491620111732,-0.9759476190476187,-1.0444,0.5453571428571429,1.7844642857142854
8,EARLY_OK,WIN,217,0.40409683426443205,1.0910838709677422,1.3056,1.8670967741935482,0.3797235023041475
8,EARLY_OK,LOSS,125,0.23277467411545624,-0.6288799999999999,-0.6344,0.6070399999999999,1.0027999999999997
10,EARLY_ADVERSE,WIN,31,0.05772811918063315,1.0439870967741938,1.2456,1.6183870967741936,0.9412903225806453
10,EARLY_ADVERSE,LOSS,191,0.35567970204841715,-0.9728293193717273,-1.0444,0.5569633507853403,1.774764397905759
10,EARLY_OK,WIN,213,0.39664804469273746,1.096069483568075,1.4156,1.8771830985915494,0.3704694835680751
10,EARLY_OK,LOSS,102,0.18994413407821228,-0.5564588235294117,-0.4493999999999999,0.5992156862745098,0.8447058823529412
