feature,bucket,trades,recovery_trades,recovery_rate,mean_R,median_R,total_R
mae_8,"(0.749, 0.86]",50,14,0.28,-0.31699999999999995,-0.7794,-15.849999999999998
mae_8,"(0.86, 1.02]",48,12,0.25,-0.4269,-1.0444,-20.4912
mae_8,"(1.02, 1.38]",50,0,0.0,-1.0444,-1.0444,-52.22
mae_8,"(1.38, 5.75]",47,1,0.02127659574468085,-0.985889361702128,-1.0444,-46.33680000000002
mfe_8,"(-0.031, 0.09]",50,3,0.06,-0.8912,-1.0444,-44.56
mfe_8,"(0.09, 0.28]",51,5,0.09803921568627451,-0.8038117647058824,-1.0444,-40.994400000000006
mfe_8,"(0.28, 0.515]",45,7,0.15555555555555556,-0.7017333333333333,-1.0444,-31.578
mfe_8,"(0.515, 3.68]",49,12,0.24489795918367346,-0.36256326530612243,-1.0444,-17.7656
close_8,"(-5.171, -0.955]",49,1,0.02040816326530612,-0.988277551020408,-1.0444,-48.425599999999996
close_8,"(-0.955, -0.62]",50,2,0.04,-0.9208000000000002,-1.0444,-46.040000000000006
close_8,"(-0.62, -0.285]",47,7,0.14893617021276595,-0.6507829787234041,-1.0444,-30.586799999999993
close_8,"(-0.285, 3.32]",49,17,0.3469387755102041,-0.20093061224489797,-1.0444,-9.845600000000001
mae_change_1_8,"(-0.001, 0.525]",49,11,0.22448979591836735,-0.4441959183673469,-1.0444,-21.7656
mae_change_1_8,"(0.525, 0.71]",52,13,0.25,-0.4486307692307691,-1.0444,-23.328799999999994
mae_change_1_8,"(0.71, 0.995]",45,2,0.044444444444444446,-0.9195111111111116,-1.0444,-41.37800000000002
mae_change_1_8,"(0.995, 5.01]",49,1,0.02040816326530612,-0.988277551020408,-1.0444,-48.425599999999996
mae_change_3_8,"(-0.001, 0.165]",49,11,0.22448979591836735,-0.40991020408163265,-1.0444,-20.0856
mae_change_3_8,"(0.165, 0.41]",49,8,0.16326530612244897,-0.7170530612244898,-1.0444,-35.1356
mae_change_3_8,"(0.41, 0.68]",48,7,0.14583333333333334,-0.6718999999999999,-1.0444,-32.2512
mae_change_3_8,"(0.68, 3.95]",49,1,0.02040816326530612,-0.967869387755102,-1.0444,-47.425599999999996
mae_change_5_8,"(-0.001, 0.13]",98,22,0.22448979591836735,-0.4914408163265305,-1.0444,-48.161199999999994
mae_change_5_8,"(0.13, 0.365]",48,3,0.0625,-0.8971083333333333,-1.0444,-43.0612
mae_change_5_8,"(0.365, 1.94]",49,2,0.04081632653061224,-0.891338775510204,-1.0444,-43.675599999999996
mfe_change_1_8,"(-0.001, 0.26]",148,13,0.08783783783783784,-0.8195351351351352,-1.0444,-121.2912
mfe_change_1_8,"(0.26, 3.59]",47,14,0.2978723404255319,-0.28950638297872333,-1.0444,-13.606799999999996
mfe_change_3_8,"(-0.001, 2.9]",195,27,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997
mfe_change_5_8,"(-0.001, 2.12]",195,27,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997
close_change_1_8,"(-4.481000000000001, -0.87]",50,2,0.04,-0.9037999999999999,-1.0444,-45.19
close_change_1_8,"(-0.87, -0.52]",50,2,0.04,-0.96,-1.0444,-48.0
