window,adverse_trades,recovery_trades,failure_trades,recovery_pct,recovery_mean_R,failure_mean_R
1,8,4,4,0.5,0.5356000000000001,-0.9194
2,1,0,1,0.0,,-1.0444
3,14,0,14,0.0,,-0.938685714285714
4,1,1,0,1.0,0.0456,
5,7,0,7,0.0,,-1.0443999999999998
6,17,3,14,0.17647058823529413,1.1389333333333334,-0.9793999999999998
8,1,0,1,0.0,,-0.7944
9,19,2,17,0.10526315789473684,1.7056,-0.819105882352941
10,12,2,10,0.16666666666666666,1.0006,-0.9464
11,15,1,14,0.06666666666666667,0.5356000000000001,-0.9136857142857141
12,19,5,14,0.2631578947368421,1.1296,-1.0443999999999998
13,1,0,1,0.0,,-1.0444
14,20,4,16,0.2,1.1431,-1.0444
15,3,0,3,0.0,,-1.0444
16,2,0,2,0.0,,-0.9294
18,9,0,9,0.0,,-0.9899555555555555
19,2,1,1,0.5,1.7056,-1.0444
20,33,4,29,0.12121212121212122,1.3956,-1.0099172413793103
21,1,0,1,0.0,,-1.0444
22,10,0,10,0.0,,-1.0444
