window,trades,triggered_trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,rule_type,decision_bar,threshold_a,threshold_b
1,8,5,2.0868,0.26085,0.375,inf,0.0,CLOSE_BELOW,12,0.25,
2,1,1,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
3,14,12,-2.0888,-0.1492,0.0,0.0,-2.0888,CLOSE_BELOW,12,0.25,
4,1,1,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
5,7,7,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
6,17,15,2.9112,0.17124705882352942,0.11764705882352941,inf,0.0,CLOSE_BELOW,12,0.25,
8,1,1,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
9,19,17,3.4112,0.17953684210526316,0.10526315789473684,inf,0.0,CLOSE_BELOW,12,0.25,
10,12,8,0.25239999999999996,0.02103333333333333,0.16666666666666666,1.144327538883806,-1.0444,CLOSE_BELOW,12,0.25,
11,15,14,-1.0444,-0.06962666666666667,0.0,0.0,-1.0444,CLOSE_BELOW,12,0.25,
12,19,14,5.648,0.29726315789473684,0.2631578947368421,inf,0.0,CLOSE_BELOW,12,0.25,
13,1,1,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
14,20,17,4.4468,0.22233999999999998,0.15,inf,0.0,CLOSE_BELOW,12,0.25,
15,3,2,-1.0444,-0.34813333333333335,0.0,0.0,-1.0444,CLOSE_BELOW,12,0.25,
16,2,1,-1.0444,-0.5222,0.0,0.0,0.0,CLOSE_BELOW,12,0.25,
18,9,9,0.0,0.0,0.0,,0.0,CLOSE_BELOW,12,0.25,
19,2,1,1.7056,0.8528,0.5,inf,0.0,CLOSE_BELOW,12,0.25,
20,33,28,0.5980000000000001,0.018121212121212125,0.06060606060606061,1.2245419044758188,-2.6632,CLOSE_BELOW,12,0.25,
21,1,0,-1.0444,-1.0444,0.0,0.0,0.0,CLOSE_BELOW,12,0.25,
22,10,9,-1.0444,-0.10444,0.0,0.0,-1.0444,CLOSE_BELOW,12,0.25,
