mae_threshold_R,trades_reaching_threshold,final_wins,final_losses,final_win_rate,mean_final_R,median_final_R,total_final_R,break_even_recovery_pct,recovery_0_5R_pct,recovery_1R_pct,recovery_target_pct,stop_pct,mean_future_MFE_close_R,median_future_MFE_close_R,mean_future_adverse_close_R,mean_crossing_bar,median_crossing_bar
0.25,195,27,168,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997,0.9897435897435898,0.9538461538461539,0.6205128205128205,0.2717948717948718,0.7487179487179487,1.459282051282051,1.28,0.29953846153846153,1.676923076923077,1.0
0.5,195,27,168,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997,0.9846153846153847,0.9435897435897436,0.6205128205128205,0.2717948717948718,0.7487179487179487,1.4517435897435895,1.28,0.22271794871794875,2.8153846153846156,2.0
0.6,195,27,168,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997,0.9794871794871794,0.9282051282051282,0.6205128205128205,0.2717948717948718,0.7487179487179487,1.4446666666666665,1.28,0.1964102564102564,3.3076923076923075,3.0
0.7,195,27,168,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997,0.9743589743589743,0.9025641025641026,0.6205128205128205,0.2717948717948718,0.7487179487179487,1.430410256410256,1.28,0.1684102564102564,3.805128205128205,3.0
0.75,195,27,168,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997,0.9743589743589743,0.9025641025641026,0.6205128205128205,0.2717948717948718,0.7487179487179487,1.4275897435897436,1.27,0.15758974358974356,4.097435897435897,4.0
0.8,186,20,166,0.10752688172043011,-0.7613354838709675,-1.0444,-141.60839999999996,0.9731182795698925,0.9086021505376344,0.6451612903225806,0.2849462365591398,0.7849462365591398,1.479782608695652,1.34,0.08152173913043478,4.811827956989247,4.0
0.9,166,11,155,0.06626506024096386,-0.8631349397590359,-1.0444,-143.28039999999996,0.9819277108433735,0.9397590361445783,0.6927710843373494,0.3192771084337349,0.8795180722891566,1.5727878787878786,1.48,-0.08751515151515152,5.9156626506024095,5.0
1.0,147,1,146,0.006802721088435374,-1.0256925170068025,-1.0444,-150.77679999999998,0.9795918367346939,0.9591836734693877,0.7755102040816326,0.36054421768707484,0.9931972789115646,1.6820000000000002,1.55,-0.2923448275862069,7.040816326530612,6.0
1.1,137,1,136,0.0072992700729927005,-1.0243270072992698,-1.0444,-140.33279999999996,0.9708029197080292,0.9562043795620438,0.8102189781021898,0.38686131386861317,0.9927007299270073,1.7411194029850747,1.61,-0.4501492537313433,8.124087591240876,7.0
1.2,123,1,122,0.008130081300813009,-1.022042276422764,-1.0444,-125.71119999999996,0.975609756097561,0.959349593495935,0.8699186991869918,0.43089430894308944,0.991869918699187,1.8309090909090906,1.65,-0.5257851239669422,8.585365853658537,7.0
1.25,119,1,118,0.008403361344537815,-1.0212907563025206,-1.0444,-121.53359999999995,0.9831932773109243,0.9747899159663865,0.8991596638655462,0.44537815126050423,0.9915966386554622,1.85728813559322,1.67,-0.6140677966101694,8.798319327731093,8.0
