trade_index,mae_threshold_R,crossing_bar,next_mae_threshold_R,next_crossing_bar,bars_until_next_threshold,future_max_favorable_close_R,final_R
0,0.25,1,0.5,2.0,1.0,1.24,-1.0444
0,0.5,2,0.6,2.0,0.0,1.24,-1.0444
0,0.6,2,0.7,2.0,0.0,1.24,-1.0444
0,0.7,2,0.75,2.0,0.0,1.24,-1.0444
0,0.75,2,0.8,2.0,0.0,1.24,-1.0444
0,0.8,2,0.9,2.0,0.0,1.24,-1.0444
0,0.9,2,1.0,7.0,5.0,1.24,-1.0444
0,1.0,7,1.1,8.0,1.0,1.24,-1.0444
0,1.1,8,1.2,8.0,0.0,1.24,-1.0444
0,1.2,8,1.25,9.0,1.0,1.24,-1.0444
0,1.25,9,,,,1.24,-1.0444
1,0.25,2,0.5,2.0,0.0,0.69,1.7056
1,0.5,2,0.6,2.0,0.0,0.69,1.7056
1,0.6,2,0.7,3.0,1.0,0.69,1.7056
1,0.7,3,0.75,3.0,0.0,0.36,1.7056
1,0.75,3,0.8,3.0,0.0,0.36,1.7056
1,0.8,3,,,,0.36,1.7056
2,0.25,3,0.5,4.0,1.0,0.75,0.1656
2,0.5,4,0.6,5.0,1.0,0.75,0.1656
2,0.6,5,0.7,5.0,0.0,0.41,0.1656
2,0.7,5,0.75,5.0,0.0,0.41,0.1656
2,0.75,5,0.8,5.0,0.0,0.41,0.1656
2,0.8,5,,,,0.41,0.1656
3,0.25,1,0.5,2.0,1.0,0.71,0.0556
3,0.5,2,0.6,2.0,0.0,0.71,0.0556
3,0.6,2,0.7,4.0,2.0,0.71,0.0556
3,0.7,4,0.75,4.0,0.0,0.71,0.0556
3,0.75,4,0.8,11.0,7.0,0.71,0.0556
3,0.8,11,,,,0.6,0.0556
4,0.25,2,0.5,2.0,0.0,0.63,0.2156
4,0.5,2,0.6,7.0,5.0,0.63,0.2156
4,0.6,7,0.7,7.0,0.0,0.44,0.2156
4,0.7,7,0.75,7.0,0.0,0.44,0.2156
4,0.75,7,,,,0.44,0.2156
5,0.25,1,0.5,4.0,3.0,0.74,-0.5444
5,0.5,4,0.6,4.0,0.0,0.74,-0.5444
5,0.6,4,0.7,5.0,1.0,0.74,-0.5444
5,0.7,5,0.75,7.0,2.0,0.74,-0.5444
5,0.75,7,0.8,8.0,1.0,0.64,-0.5444
5,0.8,8,,,,0.5,-0.5444
6,0.25,2,0.5,3.0,1.0,1.13,-1.0444
6,0.5,3,0.6,3.0,0.0,1.13,-1.0444
6,0.6,3,0.7,3.0,0.0,1.13,-1.0444
6,0.7,3,0.75,3.0,0.0,1.13,-1.0444
6,0.75,3,0.8,3.0,0.0,1.13,-1.0444
6,0.8,3,0.9,3.0,0.0,1.13,-1.0444
6,0.9,3,1.0,8.0,5.0,1.13,-1.0444
6,1.0,8,1.1,9.0,1.0,1.13,-1.0444
6,1.1,9,1.2,10.0,1.0,1.13,-1.0444
6,1.2,10,1.25,10.0,0.0,1.13,-1.0444
6,1.25,10,,,,1.13,-1.0444
7,0.25,4,0.5,6.0,2.0,1.03,-1.0444
7,0.5,6,0.6,7.0,1.0,1.03,-1.0444
7,0.6,7,0.7,8.0,1.0,1.03,-1.0444
7,0.7,8,0.75,8.0,0.0,1.03,-1.0444
7,0.75,8,0.8,10.0,2.0,1.03,-1.0444
7,0.8,10,0.9,16.0,6.0,1.03,-1.0444
7,0.9,16,1.0,16.0,0.0,0.87,-1.0444
7,1.0,16,1.1,17.0,1.0,0.87,-1.0444
7,1.1,17,,,,0.81,-1.0444
8,0.25,1,0.5,1.0,0.0,1.7,-1.0444
8,0.5,1,0.6,2.0,1.0,1.7,-1.0444
8,0.6,2,0.7,2.0,0.0,1.7,-1.0444
8,0.7,2,0.75,2.0,0.0,1.7,-1.0444
8,0.75,2,0.8,2.0,0.0,1.7,-1.0444
8,0.8,2,0.9,15.0,13.0,1.7,-1.0444
8,0.9,15,1.0,15.0,0.0,1.7,-1.0444
8,1.0,15,1.1,15.0,0.0,1.7,-1.0444
8,1.1,15,1.2,17.0,2.0,1.7,-1.0444
8,1.2,17,1.25,19.0,2.0,1.7,-1.0444
8,1.25,19,,,,1.7,-1.0444
9,0.25,1,0.5,2.0,1.0,1.64,-1.0444
9,0.5,2,0.6,3.0,1.0,1.64,-1.0444
9,0.6,3,0.7,3.0,0.0,1.64,-1.0444
9,0.7,3,0.75,3.0,0.0,1.64,-1.0444
9,0.75,3,0.8,4.0,1.0,1.64,-1.0444
9,0.8,4,0.9,4.0,0.0,1.64,-1.0444
9,0.9,4,1.0,4.0,0.0,1.64,-1.0444
9,1.0,4,1.1,4.0,0.0,1.64,-1.0444
9,1.1,4,1.2,4.0,0.0,1.64,-1.0444
9,1.2,4,1.25,5.0,1.0,1.64,-1.0444
9,1.25,5,,,,1.64,-1.0444
10,0.25,4,0.5,4.0,0.0,1.35,-1.0444
10,0.5,4,0.6,4.0,0.0,1.35,-1.0444
10,0.6,4,0.7,6.0,2.0,1.35,-1.0444
10,0.7,6,0.75,7.0,1.0,1.35,-1.0444
10,0.75,7,0.8,7.0,0.0,1.35,-1.0444
10,0.8,7,0.9,8.0,1.0,1.35,-1.0444
10,0.9,8,1.0,10.0,2.0,1.35,-1.0444
10,1.0,10,1.1,10.0,0.0,1.35,-1.0444
10,1.1,10,1.2,11.0,1.0,1.35,-1.0444
10,1.2,11,1.25,11.0,0.0,1.35,-1.0444
10,1.25,11,,,,1.35,-1.0444
11,0.25,1,0.5,3.0,2.0,0.79,-0.8344
11,0.5,3,0.6,3.0,0.0,0.79,-0.8344
11,0.6,3,0.7,3.0,0.0,0.79,-0.8344
11,0.7,3,0.75,3.0,0.0,0.79,-0.8344
11,0.75,3,0.8,3.0,0.0,0.79,-0.8344
11,0.8,3,,,,0.79,-0.8344
12,0.25,3,0.5,6.0,3.0,1.07,-1.0444
12,0.5,6,0.6,6.0,0.0,1.07,-1.0444
12,0.6,6,0.7,6.0,0.0,1.07,-1.0444
12,0.7,6,0.75,7.0,1.0,1.07,-1.0444
12,0.75,7,0.8,13.0,6.0,1.07,-1.0444
12,0.8,13,0.9,13.0,0.0,1.05,-1.0444
12,0.9,13,1.0,13.0,0.0,1.05,-1.0444
12,1.0,13,1.1,13.0,0.0,1.05,-1.0444
12,1.1,13,,,,1.05,-1.0444
13,0.25,2,0.5,7.0,5.0,1.21,-1.0444
13,0.5,7,0.6,7.0,0.0,1.21,-1.0444
13,0.6,7,0.7,7.0,0.0,1.21,-1.0444
13,0.7,7,0.75,8.0,1.0,1.21,-1.0444
13,0.75,8,0.8,8.0,0.0,1.21,-1.0444
13,0.8,8,0.9,8.0,0.0,1.21,-1.0444
13,0.9,8,1.0,13.0,5.0,1.21,-1.0444
13,1.0,13,1.1,13.0,0.0,1.21,-1.0444
13,1.1,13,1.2,15.0,2.0,1.21,-1.0444
13,1.2,15,1.25,15.0,0.0,1.2,-1.0444
13,1.25,15,,,,1.2,-1.0444
14,0.25,1,0.5,2.0,1.0,1.5,-1.0444
14,0.5,2,0.6,3.0,1.0,1.5,-1.0444
14,0.6,3,0.7,3.0,0.0,1.5,-1.0444
14,0.7,3,0.75,4.0,1.0,1.5,-1.0444
14,0.75,4,0.8,4.0,0.0,1.5,-1.0444
14,0.8,4,0.9,5.0,1.0,1.5,-1.0444
14,0.9,5,1.0,5.0,0.0,1.5,-1.0444
14,1.0,5,1.1,5.0,0.0,1.5,-1.0444
14,1.1,5,1.2,5.0,0.0,1.5,-1.0444
14,1.2,5,1.25,5.0,0.0,1.5,-1.0444
14,1.25,5,,,,1.5,-1.0444
15,0.25,4,0.5,6.0,2.0,1.2,-1.0444
15,0.5,6,0.6,8.0,2.0,1.2,-1.0444
15,0.6,8,0.7,8.0,0.0,1.2,-1.0444
15,0.7,8,0.75,8.0,0.0,1.2,-1.0444
15,0.75,8,0.8,8.0,0.0,1.2,-1.0444
15,0.8,8,0.9,9.0,1.0,1.2,-1.0444
15,0.9,9,1.0,9.0,0.0,0.86,-1.0444
15,1.0,9,1.1,9.0,0.0,0.86,-1.0444
15,1.1,9,1.2,9.0,0.0,0.86,-1.0444
15,1.2,9,1.25,9.0,0.0,0.86,-1.0444
15,1.25,9,,,,0.86,-1.0444
16,0.25,1,0.5,1.0,0.0,0.66,-1.0444
16,0.5,1,0.6,1.0,0.0,0.66,-1.0444
16,0.6,1,0.7,1.0,0.0,0.66,-1.0444
16,0.7,1,0.75,1.0,0.0,0.66,-1.0444
16,0.75,1,0.8,1.0,0.0,0.66,-1.0444
16,0.8,1,0.9,2.0,1.0,0.66,-1.0444
16,0.9,2,1.0,4.0,2.0,0.66,-1.0444
16,1.0,4,1.1,4.0,0.0,-0.38,-1.0444
16,1.1,4,1.2,4.0,0.0,-0.38,-1.0444
16,1.2,4,1.25,4.0,0.0,-0.38,-1.0444
16,1.25,4,,,,-0.38,-1.0444
17,0.25,1,0.5,1.0,0.0,2.14,-1.0444
17,0.5,1,0.6,1.0,0.0,2.14,-1.0444
17,0.6,1,0.7,1.0,0.0,2.14,-1.0444
17,0.7,1,0.75,1.0,0.0,2.14,-1.0444
17,0.75,1,0.8,2.0,1.0,2.14,-1.0444
17,0.8,2,0.9,2.0,0.0,2.14,-1.0444
17,0.9,2,1.0,2.0,0.0,2.14,-1.0444
17,1.0,2,1.1,2.0,0.0,2.14,-1.0444
17,1.1,2,1.2,2.0,0.0,2.14,-1.0444
17,1.2,2,1.25,2.0,0.0,2.14,-1.0444
17,1.25,2,,,,2.14,-1.0444
18,0.25,1,0.5,2.0,1.0,1.27,-1.0444
18,0.5,2,0.6,2.0,0.0,1.27,-1.0444
18,0.6,2,0.7,2.0,0.0,1.27,-1.0444
18,0.7,2,0.75,2.0,0.0,1.27,-1.0444
18,0.75,2,0.8,2.0,0.0,1.27,-1.0444
18,0.8,2,0.9,2.0,0.0,1.27,-1.0444
18,0.9,2,1.0,2.0,0.0,1.27,-1.0444
18,1.0,2,1.1,3.0,1.0,1.27,-1.0444
18,1.1,3,1.2,4.0,1.0,1.27,-1.0444
18,1.2,4,1.25,4.0,0.0,1.27,-1.0444
18,1.25,4,,,,1.27,-1.0444
19,0.25,4,0.5,4.0,0.0,1.61,-1.0444
19,0.5,4,0.6,4.0,0.0,1.61,-1.0444
19,0.6,4,0.7,5.0,1.0,1.61,-1.0444
19,0.7,5,0.75,5.0,0.0,1.61,-1.0444
19,0.75,5,0.8,5.0,0.0,1.61,-1.0444
19,0.8,5,0.9,6.0,1.0,1.61,-1.0444
19,0.9,6,1.0,7.0,1.0,1.61,-1.0444
19,1.0,7,1.1,10.0,3.0,1.61,-1.0444
19,1.1,10,1.2,10.0,0.0,1.6,-1.0444
19,1.2,10,1.25,10.0,0.0,1.6,-1.0444
19,1.25,10,,,,1.6,-1.0444
20,0.25,3,0.5,7.0,4.0,0.72,-0.4244
20,0.5,7,0.6,8.0,1.0,0.72,-0.4244
20,0.6,8,0.7,8.0,0.0,0.72,-0.4244
20,0.7,8,0.75,8.0,0.0,0.72,-0.4244
20,0.75,8,0.8,8.0,0.0,0.72,-0.4244
20,0.8,8,0.9,8.0,0.0,0.72,-0.4244
20,0.9,8,,,,0.72,-0.4244
21,0.25,1,0.5,2.0,1.0,0.65,-0.3944
21,0.5,2,0.6,3.0,1.0,0.65,-0.3944
21,0.6,3,0.7,3.0,0.0,0.62,-0.3944
21,0.7,3,0.75,6.0,3.0,0.62,-0.3944
21,0.75,6,0.8,7.0,1.0,0.62,-0.3944
21,0.8,7,,,,0.6,-0.3944
22,0.25,1,0.5,1.0,0.0,1.96,-1.0444
22,0.5,1,0.6,2.0,1.0,1.96,-1.0444
22,0.6,2,0.7,2.0,0.0,1.96,-1.0444
22,0.7,2,0.75,6.0,4.0,1.96,-1.0444
22,0.75,6,0.8,6.0,0.0,1.96,-1.0444
22,0.8,6,0.9,6.0,0.0,1.96,-1.0444
22,0.9,6,1.0,6.0,0.0,1.96,-1.0444
22,1.0,6,1.1,9.0,3.0,1.96,-1.0444
22,1.1,9,1.2,9.0,0.0,1.96,-1.0444
22,1.2,9,1.25,9.0,0.0,1.96,-1.0444
22,1.25,9,,,,1.96,-1.0444
23,0.25,2,0.5,3.0,1.0,0.51,0.0456
23,0.5,3,0.6,3.0,0.0,0.51,0.0456
23,0.6,3,0.7,3.0,0.0,0.51,0.0456
23,0.7,3,0.75,3.0,0.0,0.51,0.0456
23,0.75,3,,,,0.51,0.0456
24,0.25,1,0.5,1.0,0.0,6.52,-1.0444
24,0.5,1,0.6,1.0,0.0,6.52,-1.0444
24,0.6,1,0.7,1.0,0.0,6.52,-1.0444
24,0.7,1,0.75,2.0,1.0,6.52,-1.0444
24,0.75,2,0.8,2.0,0.0,6.52,-1.0444
24,0.8,2,0.9,2.0,0.0,6.52,-1.0444
24,0.9,2,1.0,2.0,0.0,6.52,-1.0444
24,1.0,2,1.1,2.0,0.0,6.52,-1.0444
24,1.1,2,1.2,2.0,0.0,6.52,-1.0444
24,1.2,2,1.25,2.0,0.0,6.52,-1.0444
24,1.25,2,,,,6.52,-1.0444
25,0.25,1,0.5,3.0,2.0,1.19,-1.0444
25,0.5,3,0.6,5.0,2.0,1.19,-1.0444
25,0.6,5,0.7,5.0,0.0,1.19,-1.0444
25,0.7,5,0.75,6.0,1.0,1.19,-1.0444
25,0.75,6,0.8,12.0,6.0,1.19,-1.0444
25,0.8,12,0.9,12.0,0.0,1.19,-1.0444
25,0.9,12,1.0,13.0,1.0,1.19,-1.0444
25,1.0,13,1.1,14.0,1.0,1.19,-1.0444
25,1.1,14,1.2,14.0,0.0,0.97,-1.0444
25,1.2,14,1.25,14.0,0.0,0.97,-1.0444
25,1.25,14,,,,0.97,-1.0444
26,0.25,3,0.5,5.0,2.0,1.6,-1.0444
26,0.5,5,0.6,5.0,0.0,1.6,-1.0444
26,0.6,5,0.7,5.0,0.0,1.6,-1.0444
26,0.7,5,0.75,5.0,0.0,1.6,-1.0444
26,0.75,5,0.8,5.0,0.0,1.6,-1.0444
26,0.8,5,0.9,5.0,0.0,1.6,-1.0444
26,0.9,5,1.0,5.0,0.0,1.6,-1.0444
26,1.0,5,1.1,6.0,1.0,1.6,-1.0444
26,1.1,6,1.2,7.0,1.0,1.6,-1.0444
26,1.2,7,1.25,8.0,1.0,1.6,-1.0444
26,1.25,8,,,,1.6,-1.0444
27,0.25,1,0.5,1.0,0.0,0.95,-1.0444
27,0.5,1,0.6,2.0,1.0,0.95,-1.0444
27,0.6,2,0.7,3.0,1.0,0.95,-1.0444
27,0.7,3,0.75,8.0,5.0,0.95,-1.0444
27,0.75,8,0.8,8.0,0.0,0.95,-1.0444
27,0.8,8,0.9,8.0,0.0,0.95,-1.0444
27,0.9,8,1.0,8.0,0.0,0.95,-1.0444
27,1.0,8,1.1,8.0,0.0,0.95,-1.0444
27,1.1,8,1.2,9.0,1.0,0.95,-1.0444
27,1.2,9,1.25,9.0,0.0,0.83,-1.0444
27,1.25,9,,,,0.83,-1.0444
28,0.25,1,0.5,2.0,1.0,1.51,-1.0444
28,0.5,2,0.6,2.0,0.0,1.51,-1.0444
28,0.6,2,0.7,2.0,0.0,1.51,-1.0444
28,0.7,2,0.75,2.0,0.0,1.51,-1.0444
28,0.75,2,0.8,2.0,0.0,1.51,-1.0444
28,0.8,2,0.9,3.0,1.0,1.51,-1.0444
28,0.9,3,1.0,4.0,1.0,1.51,-1.0444
28,1.0,4,1.1,4.0,0.0,1.51,-1.0444
28,1.1,4,1.2,8.0,4.0,1.51,-1.0444
28,1.2,8,1.25,9.0,1.0,1.51,-1.0444
28,1.25,9,,,,1.51,-1.0444
29,0.25,1,0.5,1.0,0.0,2.92,-1.0444
29,0.5,1,0.6,1.0,0.0,2.92,-1.0444
29,0.6,1,0.7,1.0,0.0,2.92,-1.0444
29,0.7,1,0.75,1.0,0.0,2.92,-1.0444
29,0.75,1,0.8,1.0,0.0,2.92,-1.0444
29,0.8,1,0.9,1.0,0.0,2.92,-1.0444
29,0.9,1,1.0,1.0,0.0,2.92,-1.0444
29,1.0,1,1.1,10.0,9.0,2.92,-1.0444
29,1.1,10,1.2,10.0,0.0,2.92,-1.0444
29,1.2,10,1.25,11.0,1.0,2.92,-1.0444
29,1.25,11,,,,2.92,-1.0444
30,0.25,1,0.5,2.0,1.0,2.71,-1.0444
30,0.5,2,0.6,2.0,0.0,2.71,-1.0444
30,0.6,2,0.7,2.0,0.0,2.71,-1.0444
30,0.7,2,0.75,2.0,0.0,2.71,-1.0444
30,0.75,2,0.8,2.0,0.0,2.71,-1.0444
30,0.8,2,0.9,3.0,1.0,2.71,-1.0444
30,0.9,3,1.0,3.0,0.0,2.71,-1.0444
30,1.0,3,1.1,5.0,2.0,2.71,-1.0444
30,1.1,5,1.2,5.0,0.0,2.71,-1.0444
30,1.2,5,1.25,5.0,0.0,2.71,-1.0444
30,1.25,5,,,,2.71,-1.0444
31,0.25,1,0.5,3.0,2.0,1.04,-1.0444
31,0.5,3,0.6,3.0,0.0,1.04,-1.0444
31,0.6,3,0.7,7.0,4.0,1.04,-1.0444
31,0.7,7,0.75,7.0,0.0,1.04,-1.0444
31,0.75,7,0.8,7.0,0.0,1.04,-1.0444
31,0.8,7,0.9,9.0,2.0,1.04,-1.0444
31,0.9,9,1.0,10.0,1.0,1.04,-1.0444
31,1.0,10,1.1,14.0,4.0,1.04,-1.0444
31,1.1,14,,,,1.04,-1.0444
32,0.25,2,0.5,2.0,0.0,1.63,-1.0444
32,0.5,2,0.6,3.0,1.0,1.63,-1.0444
32,0.6,3,0.7,3.0,0.0,1.63,-1.0444
32,0.7,3,0.75,3.0,0.0,1.63,-1.0444
32,0.75,3,0.8,7.0,4.0,1.63,-1.0444
32,0.8,7,0.9,8.0,1.0,1.63,-1.0444
32,0.9,8,1.0,11.0,3.0,1.63,-1.0444
32,1.0,11,1.1,12.0,1.0,1.63,-1.0444
32,1.1,12,1.2,13.0,1.0,1.63,-1.0444
32,1.2,13,1.25,13.0,0.0,1.63,-1.0444
32,1.25,13,,,,1.63,-1.0444
33,0.25,4,0.5,4.0,0.0,0.76,-0.6644
33,0.5,4,0.6,5.0,1.0,0.76,-0.6644
33,0.6,5,0.7,7.0,2.0,0.76,-0.6644
33,0.7,7,0.75,7.0,0.0,0.72,-0.6644
33,0.75,7,0.8,8.0,1.0,0.72,-0.6644
33,0.8,8,,,,0.72,-0.6644
34,0.25,2,0.5,3.0,1.0,1.81,-1.0444
34,0.5,3,0.6,4.0,1.0,1.81,-1.0444
34,0.6,4,0.7,4.0,0.0,1.81,-1.0444
34,0.7,4,0.75,4.0,0.0,1.81,-1.0444
34,0.75,4,0.8,4.0,0.0,1.81,-1.0444
34,0.8,4,0.9,4.0,0.0,1.81,-1.0444
34,0.9,4,1.0,4.0,0.0,1.81,-1.0444
34,1.0,4,1.1,4.0,0.0,1.81,-1.0444
34,1.1,4,1.2,5.0,1.0,1.81,-1.0444
34,1.2,5,1.25,5.0,0.0,1.81,-1.0444
34,1.25,5,,,,1.81,-1.0444
35,0.25,1,0.5,4.0,3.0,1.81,-1.0444
35,0.5,4,0.6,6.0,2.0,1.81,-1.0444
35,0.6,6,0.7,6.0,0.0,1.81,-1.0444
35,0.7,6,0.75,6.0,0.0,1.81,-1.0444
35,0.75,6,0.8,6.0,0.0,1.81,-1.0444
35,0.8,6,0.9,14.0,8.0,1.81,-1.0444
35,0.9,14,1.0,15.0,1.0,1.81,-1.0444
35,1.0,15,1.1,15.0,0.0,1.81,-1.0444
35,1.1,15,1.2,16.0,1.0,1.81,-1.0444
35,1.2,16,1.25,16.0,0.0,1.81,-1.0444
35,1.25,16,,,,1.81,-1.0444
36,0.25,3,0.5,3.0,0.0,0.94,-1.0444
36,0.5,3,0.6,6.0,3.0,0.94,-1.0444
36,0.6,6,0.7,6.0,0.0,0.67,-1.0444
36,0.7,6,0.75,6.0,0.0,0.67,-1.0444
36,0.75,6,0.8,6.0,0.0,0.67,-1.0444
36,0.8,6,0.9,6.0,0.0,0.67,-1.0444
36,0.9,6,1.0,6.0,0.0,0.67,-1.0444
36,1.0,6,,,,0.67,-1.0444
37,0.25,1,0.5,3.0,2.0,0.46,1.2056
37,0.5,3,0.6,3.0,0.0,0.46,1.2056
37,0.6,3,0.7,3.0,0.0,0.46,1.2056
37,0.7,3,0.75,3.0,0.0,0.46,1.2056
37,0.75,3,0.8,3.0,0.0,0.46,1.2056
37,0.8,3,0.9,3.0,0.0,0.46,1.2056
37,0.9,3,,,,0.46,1.2056
38,0.25,1,0.5,4.0,3.0,0.77,0.5056
38,0.5,4,0.6,4.0,0.0,0.77,0.5056
38,0.6,4,0.7,7.0,3.0,0.77,0.5056
38,0.7,7,0.75,7.0,0.0,0.68,0.5056
38,0.75,7,0.8,7.0,0.0,0.68,0.5056
38,0.8,7,,,,0.68,0.5056
39,0.25,2,0.5,3.0,1.0,1.52,-1.0444
39,0.5,3,0.6,5.0,2.0,1.52,-1.0444
39,0.6,5,0.7,5.0,0.0,1.52,-1.0444
39,0.7,5,0.75,8.0,3.0,1.52,-1.0444
39,0.75,8,0.8,8.0,0.0,1.52,-1.0444
39,0.8,8,0.9,8.0,0.0,1.52,-1.0444
39,0.9,8,1.0,9.0,1.0,1.52,-1.0444
39,1.0,9,1.1,10.0,1.0,1.52,-1.0444
