window,trades,total_R,win_rate,scenario
12,19,-8.9736,0.2631578947368421,BENCHMARK
13,1,-1.0444,0.0,BENCHMARK
14,20,-12.138,0.2,BENCHMARK
15,3,-3.1332,0.0,BENCHMARK
16,2,-1.8588,0.0,BENCHMARK
18,9,-8.9096,0.0,BENCHMARK
19,2,0.6612,0.5,BENCHMARK
20,33,-23.705199999999998,0.12121212121212122,BENCHMARK
21,1,-1.0444,0.0,BENCHMARK
22,10,-10.443999999999999,0.0,BENCHMARK
12,19,-13.0744,0.05263157894736842,THRESHOLD_EXIT
13,1,-0.8,0.0,THRESHOLD_EXIT
14,20,-13.4944,0.05,THRESHOLD_EXIT
15,3,-2.4000000000000004,0.0,THRESHOLD_EXIT
16,2,-1.6,0.0,THRESHOLD_EXIT
18,9,-7.2,0.0,THRESHOLD_EXIT
19,2,-1.6,0.0,THRESHOLD_EXIT
20,33,-23.8944,0.030303030303030304,THRESHOLD_EXIT
21,1,-0.8,0.0,THRESHOLD_EXIT
22,10,-8.0,0.0,THRESHOLD_EXIT
12,19,-12.6644,0.05263157894736842,SAME_BAR_CLOSE
13,1,-0.94,0.0,SAME_BAR_CLOSE
14,20,-12.2144,0.05,SAME_BAR_CLOSE
15,3,-2.62,0.0,SAME_BAR_CLOSE
16,2,-1.39,0.0,SAME_BAR_CLOSE
18,9,-6.41,0.0,SAME_BAR_CLOSE
19,2,-1.31,0.0,SAME_BAR_CLOSE
20,33,-22.5744,0.030303030303030304,SAME_BAR_CLOSE
21,1,-0.21,0.0,SAME_BAR_CLOSE
22,10,-9.16,0.0,SAME_BAR_CLOSE
12,19,-13.0744,0.05263157894736842,NEXT_BAR_OPEN
13,1,-0.8,0.0,NEXT_BAR_OPEN
14,20,-13.4944,0.05,NEXT_BAR_OPEN
15,3,-2.4000000000000004,0.0,NEXT_BAR_OPEN
16,2,-1.6,0.0,NEXT_BAR_OPEN
18,9,-7.2,0.0,NEXT_BAR_OPEN
19,2,-1.6,0.0,NEXT_BAR_OPEN
20,33,-23.8944,0.030303030303030304,NEXT_BAR_OPEN
21,1,-0.8,0.0,NEXT_BAR_OPEN
22,10,-8.0,0.0,NEXT_BAR_OPEN
12,19,-12.4444,0.10526315789473684,NEXT_BAR_CLOSE
13,1,-1.4,0.0,NEXT_BAR_CLOSE
14,20,-11.8144,0.1,NEXT_BAR_CLOSE
15,3,-3.1799999999999997,0.0,NEXT_BAR_CLOSE
16,2,-0.69,0.0,NEXT_BAR_CLOSE
18,9,-4.21,0.0,NEXT_BAR_CLOSE
19,2,-0.67,0.5,NEXT_BAR_CLOSE
20,33,-22.1444,0.12121212121212122,NEXT_BAR_CLOSE
21,1,-0.24,0.0,NEXT_BAR_CLOSE
22,10,-7.970000000000001,0.1,NEXT_BAR_CLOSE
