trade_index,window,entry_timestamp,crossing_bar,triggered,benchmark_R,threshold_exit_R,same_bar_close_R,next_bar_open_R,next_bar_close_R
4,1,2021-05-07 14:01:00-04:00,2.0,True,-1.0444,-0.8,-0.76,-0.8,-0.54
5,1,2021-05-10 13:55:00-04:00,3.0,True,1.7056,-0.8,-0.69,-0.8,-0.36
6,1,2021-05-17 13:31:00-04:00,5.0,True,0.1656,-0.8,-0.75,-0.8,-0.41
27,1,2021-07-08 14:32:00-04:00,11.0,True,0.0556,-0.8,-0.66,-0.8,-0.6
33,1,2021-07-16 10:11:00-04:00,,False,0.2156,0.2156,0.2156,0.2156,0.2156
34,1,2021-07-16 11:14:00-04:00,8.0,True,-0.5444,-0.8,-0.64,-0.8,-0.31
41,1,2021-07-30 10:33:00-04:00,3.0,True,-1.0444,-0.8,-0.72,-0.8,-0.38
42,1,2021-08-02 12:07:00-04:00,10.0,True,-1.0444,-0.8,-0.72,-0.8,-0.71
43,2,2021-09-22 09:36:00-04:00,2.0,True,-1.0444,-0.8,-0.29,-0.8,-0.19
44,3,2021-11-08 10:42:00-05:00,4.0,True,-1.0444,-0.8,-1.14,-0.8,-1.21
47,3,2021-11-10 11:42:00-05:00,7.0,True,-1.0444,-0.8,-0.79,-0.8,-0.68
49,3,2021-11-15 10:32:00-05:00,3.0,True,-0.8344,-0.8,-0.75,-0.8,-0.36
52,3,2021-11-17 16:07:00-05:00,13.0,True,-1.0444,-0.8,-1.07,-0.8,-1.05
53,3,2021-11-18 12:57:00-05:00,8.0,True,-1.0444,-0.8,-0.9,-0.8,-0.91
62,3,2021-12-09 14:56:00-05:00,4.0,True,-1.0444,-0.8,-0.77,-0.8,-1.28
64,3,2021-12-13 15:27:00-05:00,8.0,True,-1.0444,-0.8,-0.81,-0.8,-1.2
68,3,2021-12-16 09:31:00-05:00,1.0,True,-1.0444,-0.8,-0.7,-0.8,0.28
69,3,2021-12-16 14:24:00-05:00,2.0,True,-1.0444,-0.8,-0.93,-0.8,-0.78
